epoch,train_loss,val_loss,val_acc,val_f1
1,1.050855485964021,0.9828522205352783,0.6048780487804878,0.4064039408866995
2,0.9201307406485331,0.7709648609161377,0.7365853658536585,0.690756606377248
3,0.7472278438352641,0.5923206806182861,0.7365853658536585,0.698815150191297
4,0.6541187546243229,0.5805453062057495,0.7560975609756098,0.7256496463171688
5,0.6275246085980946,0.49451521039009094,0.7853658536585366,0.7581201718649124
6,0.5975855880701392,0.4769435524940491,0.7951219512195122,0.7748473748473749
7,0.5731259644280916,0.4805225133895874,0.775609756097561,0.7423243981442679
8,0.5637232130042679,0.4554600715637207,0.7902439024390244,0.7604794717197819
9,0.5502004850359641,0.4449751377105713,0.8,0.773449090035312
10,0.5371367627107947,0.4284258186817169,0.8048780487804879,0.7843537677082931
11,0.5316659431577228,0.4409012496471405,0.8048780487804879,0.7884195134749458
12,0.523385012997743,0.4135277271270752,0.8097560975609757,0.7928436410892551
13,0.5033600069738332,0.39950108528137207,0.8195121951219512,0.798628303167006
14,0.5031719090549517,0.388820618391037,0.8146341463414634,0.7981818547071119
15,0.4909892240578161,0.3757208585739136,0.8195121951219512,0.7993058888456112
16,0.4748507941367736,0.36549112200737,0.824390243902439,0.804554260293445
17,0.4759173956875023,0.35912057757377625,0.8292682926829268,0.8067092408864561
18,0.4547330785745357,0.35746312141418457,0.8536585365853658,0.8381403235370509
19,0.4487710290872901,0.3445286452770233,0.8585365853658536,0.8422393670475512
20,0.45947585519886414,0.34181568026542664,0.8536585365853658,0.837205626679311
21,0.4345536249452056,0.3489789366722107,0.8634146341463415,0.8450780638965615
22,0.4217087131414453,0.32127845287323,0.8682926829268293,0.8555391674860701
23,0.4225660658531109,0.3094345033168793,0.8682926829268293,0.8537158746208292
24,0.41756706419849,0.3229222297668457,0.8975609756097561,0.8895105034281677
25,0.4134504604289721,0.3268851637840271,0.8926829268292683,0.8841124239911554
26,0.40616845685567815,0.30123966932296753,0.8829268292682927,0.8705232673178278
27,0.40094434928195744,0.2939414381980896,0.8780487804878049,0.8637627676567196
28,0.3798736696712143,0.3014771342277527,0.8780487804878049,0.8651869906223189
29,0.3848271709106956,0.28998422622680664,0.8780487804878049,0.8630969692293387
30,0.3742597510874521,0.2896748185157776,0.8780487804878049,0.8658781268505625
31,0.37786415855256084,0.2810211181640625,0.8878048780487805,0.8779120171000866
32,0.36820554733276367,0.3066827356815338,0.8878048780487805,0.8780177852878716
33,0.3638905408990932,0.29407504200935364,0.8829268292682927,0.8691297208538588
34,0.35644124803682753,0.2996201515197754,0.8731707317073171,0.8622656382192838
35,0.37110533462408696,0.27967482805252075,0.8926829268292683,0.8864314004275341
36,0.3512112715254269,0.2714729905128479,0.8926829268292683,0.884843063961974
37,0.3393274637944529,0.2828958034515381,0.8975609756097561,0.8918104133382491
38,0.3441302218945954,0.2788398563861847,0.8926829268292683,0.8866337397746565
39,0.33852912628999815,0.27319860458374023,0.9024390243902439,0.8968903587340958
40,0.33290427150087876,0.28022509813308716,0.8878048780487805,0.8758169934640523
41,0.3358027752972048,0.2663736045360565,0.8926829268292683,0.8834804539722573
42,0.3389582707542755,0.2968127429485321,0.8926829268292683,0.8849668923522399
43,0.3348522704390801,0.26179447770118713,0.8975609756097561,0.8905641783690564
44,0.32378617864273584,0.2627665400505066,0.8926829268292683,0.8849724769317505
45,0.3317970351694019,0.2603680193424225,0.8975609756097561,0.8903906731294534
46,0.33560070482756804,0.26943936944007874,0.8926829268292683,0.8864314004275341
47,0.3223913689786919,0.2742885649204254,0.9024390243902439,0.8983112256715438
48,0.30482787242993153,0.260730504989624,0.8975609756097561,0.8901476640038731
49,0.31525148981285894,0.2578873932361603,0.8878048780487805,0.8808811320085713
50,0.3154853421524479,0.25991731882095337,0.8975609756097561,0.8901476640038731
