family,preset_name,K,wR,step,in_ch,val_acc,val_f1,test_acc,test_f1,best_epoch,train_s,build_s
raw_quantile,D2,1,0.1,0.0,12,0.9512195121951219,0.9522751322751323,0.9170731707317074,0.9150448530617089,122,62.746824741363525,0.18628692626953125
raw_quantile,D2,2,0.1,0.0,24,0.975609756097561,0.978319783197832,0.9609756097560976,0.9580476696870646,176,99.40451097488403,0.2077281475067138
raw_quantile,D2,3,0.1,0.0,36,0.951219512195122,0.949575833925245,0.946341463414634,0.9452490922294844,94,79.02737522125244,0.3228280544281006
raw_quantile,D2,4,0.1,0.0,48,0.9658536585365852,0.9649930714085464,0.951219512195122,0.9515237494745692,121,113.18509936332704,0.4145379066467285
raw_quantile,D2,5,0.1,0.0,60,0.9609756097560975,0.9582362502608559,0.9414634146341463,0.9360914947121843,130,148.5190715789795,0.8875038623809814
raw_quantile,D2,6,0.1,0.0,72,0.9658536585365853,0.967611080151468,0.9317073170731708,0.9295176949577201,130,1630.019288301468,0.9786834716796875
