sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,-1.40534286,-1.66782806,-1.84219243,2.85487512
1,-0.04478075,-1.00926489,-2.00302778,2.24337719
2,1.34929356,0.10001072,-2.00049602,2.41507341
3,2.73772156,1.84781388,-1.72024228,3.72407961
4,4.05708327,4.44149629,-1.00373930,6.09871351
5,5.21096535,8.07071943,0.34658439,9.61305325
6,6.06087079,12.84503907,2.54037535,14.42853736
7,6.41753603,18.70711483,5.74064754,20.59358998
8,6.03218196,25.33364692,9.97440821,27.88672990
9,4.58516450,32.05385058,15.06199505,35.71185749
10,1.67034843,37.83625210,20.41022924,43.02266256
11,-3.21301655,41.40604521,25.45980965,48.71330375
12,-10.61278237,41.01087001,29.87431572,51.83625516
13,-20.93309089,36.34590233,33.43286813,53.63744571
14,-34.15637404,27.56741792,34.81165543,56.02206505
15,-49.55893340,15.60834078,31.72025264,60.87596085
16,-66.76554172,2.59521426,22.97889266,70.65693318
17,-87.59722891,-7.46990749,11.33853536,88.64331004
18,-112.74346165,-10.00177769,1.80893087,113.20068875
19,-135.23947426,-4.08211065,-2.75074394,135.32902725
20,-144.82673145,5.46371430,-2.85500837,144.95787454
21,-142.00873486,12.20428580,-0.70606753,142.53393947
22,-135.06674879,14.65382160,0.79279597,135.86165626
23,-131.32797647,13.75772562,1.24433962,132.05249259
24,-131.71539084,10.97583397,0.84926890,132.17463590
25,-132.82000541,7.82223143,-0.05276399,133.05015568
26,-131.49163685,6.35739498,-0.24152566,131.64545328
27,-126.86083019,6.36697110,0.49255704,127.02145949
28,-119.63385863,7.79317409,2.36483426,119.91074236
29,-110.85911004,10.60847355,5.66288292,111.50941768
30,-101.35599022,13.45264196,9.69191215,102.70318150
31,-91.87428304,15.87586660,13.97219895,94.27698217
32,-82.80023906,17.47243073,18.19803779,86.55826941
33,-74.09057812,17.64237505,22.11076543,79.30670282
34,-65.84028293,16.56796770,25.55568892,72.54332255
35,-58.02561415,14.61611544,28.37915645,66.22672609
36,-50.44231322,12.03382682,30.64115139,60.23387842
37,-43.08396877,9.09017250,32.25622742,54.58318247
38,-36.15774724,6.02023819,33.10280686,49.39050288
39,-29.82036287,2.98176722,33.05436344,44.61766376
40,-24.19980857,0.05695486,32.03384295,40.14724241
41,-19.52778091,-2.68681404,30.08129620,35.96439320
42,-16.03143035,-5.36649809,27.41041850,32.20461307
43,-13.98988657,-7.60937651,24.42002519,29.15402489
44,-13.22418960,-9.15013877,21.63493432,26.95690288
45,-13.30578467,-9.76209248,19.58318459,25.60944111
46,-13.88564342,-9.31886814,18.65555456,25.05358482
47,-14.59651206,-7.85029752,19.00786000,25.21872473
48,-15.11836955,-5.64838107,20.54308202,26.12446221
49,-15.23249814,-3.08490153,22.96791504,27.73212467
50,-14.84633544,-0.59533112,25.88765812,29.84860026
51,-13.98461741,1.62296289,28.89921619,32.14604531
52,-12.75633402,3.47173847,31.65711129,34.30670081
53,-11.31302059,4.88082413,33.90637775,36.07560576
54,-9.81155900,5.85039788,35.48873441,37.28195429
55,-8.38841953,6.42562858,36.33256958,37.83794256
56,-7.14641900,6.66109063,36.43592378,37.72291048
57,-6.15156232,6.64235280,35.84835175,36.97386770
58,-5.43636551,6.44789602,34.65451912,35.66602204
59,-5.00637350,6.13303074,32.93916950,33.87723024
60,-4.84751267,5.74205433,30.84739014,31.74950465
61,-4.93288680,5.30890725,28.50465836,29.41145043
62,-5.22837918,4.85858061,26.01979242,26.98094424
63,-5.69690946,4.40875346,23.49006787,24.56980205
64,-6.30145510,3.97137338,20.99818845,22.28012704
65,-7.00705473,3.55404550,18.61069484,20.20118852
66,-7.78202878,3.16118411,16.37763809,18.40597964
67,-8.59862693,2.79492892,14.33329826,16.94672393
68,-9.43327151,2.45585086,12.49769392,15.84961097
69,-10.26652529,2.14348102,10.87861628,15.11093460
70,-11.08238653,1.85669687,9.47393432,14.69768846
71,-11.86774201,1.59399719,8.27395098,14.55480650
72,-12.61471355,1.35369248,7.26363754,14.61929928
73,-13.31786432,1.13403279,6.42462504,14.82994765
74,-13.97402034,0.93329032,5.73688182,15.13459904
75,-14.58185813,0.74980991,5.18004928,15.49276322
76,-15.14152303,0.58203757,4.73444151,15.87511965
77,-15.65428555,0.42853410,4.38173778,16.26160888
78,-16.12223998,0.28797915,4.10541093,16.63922933
79,-16.54804675,0.15916919,3.89094087,17.00007667
80,-16.93471766,0.04101203,3.72586292,17.33979235
81,-17.28544195,-0.06748064,3.59969676,17.65641169
82,-17.60344949,-0.16720147,3.50379632,17.94953980
83,-17.89190724,-0.25895580,3.43115320,18.21977538
84,-18.15384411,-0.35088443,3.37617958,18.46845322
85,-18.39210003,-0.43619528,3.33448940,18.69701659
86,-18.60929455,-0.51494350,3.30269072,18.90710915
87,-18.80781107,-0.58771162,3.27819743,19.10041205
88,-18.98979303,-0.65502575,3.25906441,19.27855801
89,-19.15714906,-0.71736094,3.24384748,19.44308395
90,-19.31156432,-0.77514642,3.23148740,19.59540454
91,-19.45451604,-0.82877026,3.22121608,19.73680034
92,-19.58729152,-0.87858364,3.21248226,19.86841566
93,-19.71100721,-0.92490457,3.20489382,19.99126305
94,-19.82662795,-0.96802129,3.19817378,20.10623179
95,-19.93498562,-1.00819525,3.19212734,20.21409870
