speed_kmh,full_samples,cropped_samples,crop_start,crop_end,sample_spacing_m,peak_abs_x,peak_abs_y,peak_abs_z
20,274,225,49,273,0.11111111,234.67445063,45.38155540,66.42184472
30,183,153,30,182,0.16666667,200.45259980,25.49441664,51.76515865
40,138,118,20,137,0.22222222,169.85827204,33.45826012,42.19140031
50,110,96,14,109,0.27777778,144.82673145,41.40604521,36.43592378
