speed_kmh,full_samples,cropped_samples,crop_start,crop_end,sample_spacing_m,peak_abs_x,peak_abs_y,peak_abs_z
20,274,226,48,273,0.11111111,182.83639638,62.43613549,65.57665571
40,138,117,21,137,0.22222222,172.20268465,52.61084927,62.43359061
60,92,80,12,91,0.33333333,161.90010813,44.08232343,59.08775220
