feature,importance_mean,importance_std
x_energy,0.12046196384152784,0.12438057435184191
duration_s,0.11685202715536357,0.09336520212799476
mag_energy,0.11011344638612225,0.1299533894283468
x_absmean,0.05344337959635392,0.08555954255071321
mag_peak,0.048459286769809526,0.07367058653997734
corr_xz,0.0470105030637336,0.031894267383030424
x_std,0.04468392777240266,0.0770879486866062
mag_mean,0.04330621948374425,0.07903563250894419
x_ptp,0.042919689918840306,0.05616105366453692
y_std,0.037739504840321125,0.028695577699787835
mag_ptp,0.036945732959969,0.05331735800529001
mag_rms,0.03284072856171548,0.06476659893038675
y_ptp,0.03192994192317497,0.03184208306771726
mag_std,0.026539141454994794,0.044616833340863596
peak_pos_ratio,0.02643860863089192,0.01728568407062707
y_energy,0.025212105435799322,0.04277837044924003
z_absmean,0.02520982348009362,0.021664622549615823
y_absmean,0.024065737001751353,0.019839976017190685
z_energy,0.02156240395440052,0.03532626785138071
corr_xy,0.018968842494488245,0.013628276055474618
corr_yz,0.018231258218048288,0.013399347919250898
mag_iqr,0.01637934919665955,0.024442868705925807
z_std,0.015957923823684512,0.016294609821040147
z_ptp,0.014728454036109354,0.019495350117078546
