class_id,class_name,length_samples,duration_s,mag_peak,mag_energy,mag_rms,mag_mean,mag_std,mag_iqr,mag_ptp,x_std,y_std,z_std,x_ptp,y_ptp,z_ptp,x_absmean,y_absmean,z_absmean,x_energy,y_energy,z_energy,corr_xy,corr_xz,corr_yz,peak_pos_ratio
0,小型车,61,1.22,120.7849349975586,121637.0,44.65477752685547,26.255746841430664,36.120418548583984,29.298444747924805,120.7849349975586,35.47798538208008,16.133544921875,12.387804985046387,121.0,76.0,47.0,19.26229476928711,10.131147384643555,8.393442153930664,94477.0,15904.0,11256.0,-0.18709980000166043,-0.6560764006241626,0.6216711936559751,0.5333333333333333
0,小型车,73,1.46,382.5950927734375,1535581.0,145.03570556640625,83.47322082519531,118.60682678222656,86.22335052490234,379.5950927734375,113.39570617675781,57.510398864746094,38.412567138671875,384.0,290.0,140.0,57.24657440185547,33.9315071105957,25.904109954833984,1167269.0,241557.0,126755.0,0.054246294688099314,-0.48870983890742337,-0.6696349470065387,0.5833333333333334
0,小型车,60,1.2,175.9552459716797,288116.0,69.29598236083984,43.93373489379883,53.58879852294922,56.69733428955078,171.9241180419922,34.2423210144043,29.07488441467285,45.325660705566406,138.0,133.0,146.0,18.816667556762695,18.96666717529297,30.933332443237305,79161.0,50745.0,158210.0,-0.13278650718634352,0.8428613421439695,0.1663085448824928,0.5254237288135594
0,小型车,116,2.32,196.3141632080078,773351.0,81.65058898925781,56.30763244628906,59.1292610168457,77.89793395996094,191.59716796875,61.3654670715332,32.29518508911133,31.633499145507812,228.0,160.0,112.0,42.75,18.413793563842773,23.86206817626953,499343.0,126150.0,147858.0,0.20739579625513507,-0.48349469588225086,-0.6802648900402768,0.43478260869565216
0,小型车,80,1.6,67.6683120727539,44201.0,23.505584716796875,14.012616157531738,18.87217903137207,7.182718753814697,66.6683120727539,19.502559661865234,10.343596458435059,3.2992422580718994,76.0,55.0,14.0,10.512499809265137,5.625,2.674999952316284,34475.0,8848.0,878.0,-0.12671232890422504,0.08242846397490401,-0.1605812181270867,0.4177215189873418
0,小型车,79,1.58,119.1721420288086,147581.0,43.221683502197266,25.029865264892578,35.23662185668945,27.849674224853516,118.1721420288086,31.243602752685547,12.667781829833984,19.872709274291992,113.0,63.0,66.0,16.291139602661133,7.367088794708252,14.708860397338867,92967.0,12794.0,41820.0,-0.15419369136123778,-0.8623986955740734,-0.015643529585435894,0.5641025641025641
0,小型车,78,1.56,138.10594177246094,188992.5,49.22378158569336,31.274179458618164,38.011924743652344,31.273029327392578,136.0443878173828,35.0678596496582,24.69905662536621,20.659942626953125,171.0,119.0,74.0,19.076923370361328,14.564102172851562,13.70512866973877,103345.5,48518.0,37129.0,0.1677310624263133,-0.20737104272354823,-0.8191699452447041,0.5194805194805194
0,小型车,67,1.34,139.44532775878906,193192.0,53.69788360595703,34.98236846923828,40.73937225341797,48.16361999511719,137.71327209472656,40.147247314453125,30.504337310791016,11.775938987731934,184.0,129.0,56.0,24.850746154785156,18.238805770874023,7.7462687492370605,114355.0,68008.0,10829.0,0.47139659670959716,0.36613412795002953,-0.469832374403444,0.4696969696969697
0,小型车,62,1.24,117.64778137207031,143257.0,48.06866455078125,33.64988327026367,34.326114654541016,54.533653259277344,115.64778137207031,36.8204460144043,26.011451721191406,12.689641952514648,160.0,102.0,43.0,24.29032325744629,16.983871459960938,8.483870506286621,88690.0,43151.0,11416.0,0.07029003679718268,-0.31381174918582755,-0.908482747492118,0.5409836065573771
0,小型车,112,2.24,178.22177124023438,305014.0,52.18562316894531,29.683244705200195,42.92137145996094,22.52376937866211,175.39334106445312,37.22209548950195,24.184162139892578,22.77642059326172,194.0,143.0,92.0,19.089284896850586,13.714285850524902,11.910714149475098,174468.0,65530.0,65016.0,-0.13837926166531067,-0.3067127355967019,-0.6525650645336598,0.6756756756756757
0,小型车,79,1.58,294.4146728515625,732973.0,96.3230972290039,51.50612258911133,81.39569091796875,54.90990447998047,294.4146728515625,78.62020874023438,38.03725051879883,22.884613037109375,318.0,188.0,100.0,39.177215576171875,20.392404556274414,13.556962013244629,572895.0,116829.0,43249.0,-0.2887098330882201,0.06818657847154769,0.7763842725935229,0.5769230769230769
