group,TP,FP,FN,P,R,F1,Rf,Rm
A,12,0,0,1.0,1.0,1.0,0.0,0.0
B,30,1,1,0.967741935483871,0.967741935483871,0.967741935483871,0.03225806451612903,0.03225806451612903
C,28,3,3,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.0967741935483871,0.0967741935483871
D,34,0,0,1.0,1.0,1.0,0.0,0.0
ALL,104,4,4,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.037037037037037035,0.037037037037037035
