variant,F1_all,F1_A,F1_B,F1_C,F1_D
Ours,0.9629629629629629,1.0,0.967741935483871,0.9032258064516129,1.0
Abl_noMeanDiff,0.6859504132231405,0.9166666666666666,0.9032258064516129,0.29213483146067415,0.9253731343283583
Abl_noSimilarity,0.9259259259259259,1.0,0.9354838709677419,0.8064516129032258,1.0
Abl_noDegrade,0.9186602870813396,1.0,0.9666666666666666,0.7368421052631579,1.0
Abl_noUpdateGate,0.937799043062201,1.0,0.967741935483871,0.7999999999999999,1.0
