x_m,Bx_latent,By_latent,Bz_latent,Bx_reproj,By_reproj,Bz_reproj,Bx_obs,By_obs,Bz_obs
2.89053737,-22.00788813,-20.58922746,-0.38949143,-18.50713434,-20.00384625,6.00642356,-18.50000000,-20.00000000,6.00000000
3.19609293,-31.14937817,-18.41954570,-8.24300579,-26.49855658,-19.00237730,-3.00093369,-26.50000000,-19.00000000,-3.00000000
3.50164848,-39.16316397,-14.22702629,-14.08167583,-34.50411528,-15.98377975,-10.00529860,-34.50000000,-16.00000000,-10.00000000
3.80720404,-43.96486076,-8.12872224,-17.88964544,-40.48444700,-11.01843641,-14.98915633,-40.50000000,-11.00000000,-15.00000000
4.11275959,-43.68317134,-6.25490336,-18.18176625,-42.50642641,-8.00730924,-17.00727070,-42.50000000,-8.00000000,-17.00000000
4.41831515,-44.09724222,-3.21049955,-18.58342727,-43.51201379,-4.97514722,-18.00359167,-43.50000000,-5.00000000,-18.00000000
4.72387071,-45.05784427,6.04973299,-17.97941679,-44.48916502,1.99390622,-17.98831023,-44.50000000,2.00000000,-18.00000000
5.02942626,-41.34314417,13.06077936,-14.86134339,-42.50050056,8.98950426,-16.01169020,-42.50000000,9.00000000,-16.00000000
5.33498182,-34.58561954,15.33701705,-12.82354899,-37.49734155,13.00189759,-13.99640060,-37.50000000,13.00000000,-14.00000000
5.64053737,-26.43214160,16.17566264,-9.24472629,-30.50280117,15.00809973,-10.99276958,-30.50000000,15.00000000,-11.00000000
5.94609293,-19.42881369,16.55867205,-4.69474363,-23.50270601,15.98824837,-7.01165790,-23.50000000,16.00000000,-7.00000000
6.25164848,-13.99813334,14.43506474,-2.23319842,-17.49467022,15.00644906,-3.99109542,-17.50000000,15.00000000,-4.00000000
6.55720404,-9.60324092,13.42709444,0.73642953,-12.50633552,14.00810654,-1.00272971,-12.50000000,14.00000000,-1.00000000
6.86275959,-7.74916976,12.38584632,2.15402953,-9.49923324,12.98264251,0.99272270,-9.50000000,13.00000000,1.00000000
7.16831515,-6.33333357,8.27433454,2.60203141,-7.49800297,10.00642424,2.00999982,-7.50000000,10.00000000,2.00000000
7.47387071,-4.33282659,6.85258341,5.15562392,-5.49722991,8.01281662,3.99841349,-5.50000000,8.00000000,4.00000000
7.77942626,-2.34211622,7.96830350,7.16156797,-3.50281768,7.98467896,5.99790846,-3.50000000,8.00000000,6.00000000
8.08498182,-1.92069017,6.43653081,7.57765190,-2.50272236,7.00606269,6.99649677,-2.50000000,7.00000000,7.00000000
8.39053737,-2.49143561,5.41463211,7.01481259,-2.49558777,6.00008670,7.00807458,-2.50000000,6.00000000,7.00000000
8.69609293,-2.51092311,4.41091671,6.98386327,-2.50528155,4.99553968,6.99277011,-2.50000000,5.00000000,7.00000000
9.00164848,-2.48677587,3.43193194,5.42219439,-2.49358373,4.00715108,5.99997691,-2.50000000,4.00000000,6.00000000
9.30720404,-0.92050878,3.98755917,4.42802361,-1.49921071,3.99476663,5.00631291,-1.50000000,4.00000000,5.00000000
9.61275959,0.06433593,4.01007601,4.98688478,-0.51086073,4.00444400,4.99403199,-0.50000000,4.00000000,5.00000000
9.91831515,-0.47651105,3.99439450,5.02004473,-0.48914759,3.99809151,5.01047518,-0.50000000,4.00000000,5.00000000
10.22387071,1.07449999,2.40898322,4.96658435,0.49926619,2.99358349,4.98273088,0.50000000,3.00000000,5.00000000
10.52942626,2.07342615,-0.15008104,1.85498597,1.49432507,1.00640851,3.00561902,1.50000000,1.00000000,3.00000000
10.83498182,1.50331430,-0.58261166,1.44207365,1.50000735,0.00195619,2.01726985,1.50000000,0.00000000,2.00000000
11.14053737,1.50893638,-0.00691873,3.53755127,1.50565157,-0.00365383,2.97827099,1.50000000,0.00000000,3.00000000
11.44609293,3.07838746,0.00324879,1.44023324,2.49981026,0.00070946,2.00604571,2.50000000,0.00000000,2.00000000
11.75164848,4.06821404,-0.00258346,0.42496926,3.49123053,-0.00137206,1.00661478,3.50000000,0.00000000,1.00000000
12.05720404,3.53352758,0.01846511,0.98428420,3.51796737,0.01116742,0.99249916,3.50000000,0.00000000,1.00000000
12.36275959,3.46145091,-0.04887704,0.99922141,3.48224215,-0.02678792,0.99674843,3.50000000,0.00000000,1.00000000
12.66831515,-1.25927266,-3.10736972,2.61813117,0.48503316,-1.97408701,2.02165779,0.50000000,-2.00000000,2.00000000
12.97387071,-4.16229209,-0.44816991,6.70055052,-2.45263667,-1.00952344,4.97928208,-2.50000000,-1.00000000,5.00000000
13.27942626,2.17695972,2.17198368,5.01554697,0.47382639,1.00157262,5.00220586,0.50000000,1.00000000,5.00000000
13.58498182,2.07050366,4.20064270,1.83592390,1.48311892,3.02377059,3.00073394,1.50000000,3.00000000,3.00000000
13.89053737,-1.61251041,2.86813288,-0.17606102,-0.47369202,2.92538880,0.99261654,-0.50000000,3.00000000,1.00000000
14.19609293,-0.53306896,-7.92006480,1.05422719,-0.51122540,-3.93024539,1.03156189,-0.50000000,-4.00000000,1.00000000
14.50164848,-0.48998309,-2.45176716,7.26521374,-0.49779770,-2.99566890,4.97198138,-0.50000000,-3.00000000,5.00000000
14.80720404,-0.50813531,3.24171261,6.59453876,-0.50433232,0.94710818,5.99763326,-0.50000000,1.00000000,6.00000000
15.11275959,-0.48736768,-0.48345057,4.44130387,-0.49360862,0.04282259,5.01384546,-0.50000000,0.00000000,5.00000000
15.41831515,1.07825742,1.53395415,4.98225084,0.50000022,0.98539751,4.99387385,0.50000000,1.00000000,5.00000000
15.72387071,2.07183887,0.99916944,5.00467754,1.49359174,0.99410303,5.00070308,1.50000000,1.00000000,5.00000000
16.02942626,1.51077266,-0.56122171,4.99969132,1.50445215,0.01095029,5.00006353,1.50000000,0.00000000,5.00000000
16.33498182,1.49617280,-0.01466653,4.99994898,1.49921860,-0.00524263,4.99999112,1.50000000,0.00000000,5.00000000
16.64053737,1.50037952,0.00421159,5.00000529,1.49995245,0.00073357,5.00000007,1.50000000,0.00000000,5.00000000
16.94609293,1.50004057,-0.00033855,5.00000014,1.50000815,0.00005586,5.00000011,1.50000000,0.00000000,5.00000000
17.25164848,1.49999483,-0.00004606,4.99999992,1.49999973,-0.00000856,4.99999999,1.50000000,0.00000000,5.00000000
17.55720404,1.50000003,0.00000559,5.00000000,1.49999992,0.00000038,5.00000000,1.50000000,0.00000000,5.00000000
