sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,8.59582769,-1.97522463,-2.49445669,9.16581039
1,9.73945775,-1.58563702,-2.40219501,10.15587628
2,10.87651384,-1.06880074,-2.24211041,11.15652040
3,11.99127223,-0.39828394,-2.00377157,12.16405937
4,13.06221666,0.45290426,-1.67670323,13.17717572
5,14.05999867,1.50992262,-1.25087678,14.19606008
6,14.94477325,2.79273570,-0.71723085,15.22038239
7,15.66280031,4.31175668,-0.06803521,16.24558980
8,16.14226237,6.06262681,0.70326399,17.25753918
9,16.28840645,8.02049215,1.60331990,18.22665942
10,15.97845161,10.13443926,2.64213770,19.10493828
11,15.05731328,12.32308405,3.83927475,19.83232498
12,13.33617256,14.47256925,5.23359666,20.36416689
13,10.59724594,16.43820689,6.89578789,20.73808472
14,6.60945331,18.05038913,8.93961852,21.19948585
15,1.16004937,19.12387927,11.52250457,22.35702540
16,-5.89533498,19.46726988,14.81903706,25.16611671
17,-14.57035798,18.88749120,18.94698852,30.46343758
18,-24.69631078,17.18604283,23.83299484,38.38332291
19,-35.92641388,14.15414734,29.03752887,48.31381981
20,-47.85331414,9.59581696,33.58201588,59.24332171
21,-60.26545315,3.43016401,35.95744484,70.26114650
22,-73.45941884,-4.08786849,34.88325687,81.42382020
23,-88.36441225,-12.08113736,29.87372185,94.05669827
24,-106.16999930,-18.91058733,21.83240748,110.02878296
25,-127.39019995,-22.47495498,12.96731477,130.00591485
26,-150.83371236,-21.04058450,5.93212409,152.40966202
27,-173.32183852,-14.21137760,2.65932267,173.92381941
28,-190.66065239,-3.53940461,3.59876801,190.72745708
29,-199.17624957,7.95476386,7.74507614,199.48544524
30,-197.98957457,17.48091933,13.28541657,199.20330437
31,-189.59349793,22.23100682,18.40549693,191.77766929
32,-177.83438757,21.36230900,21.86955910,180.44305269
33,-166.68077105,15.54823242,23.23609179,169.00929836
34,-158.91863680,6.92701052,22.74889192,160.68798549
35,-155.53750431,-2.14838851,21.17161399,156.98652190
36,-155.87258549,-9.66826692,19.49252595,157.38391551
37,-158.25544052,-14.35971683,18.40093884,159.96743566
38,-160.79677710,-15.76919912,18.31047096,162.60241238
39,-161.98884462,-14.12513625,19.36063476,163.75206696
40,-160.98789611,-10.10260028,21.47020354,162.72717925
41,-157.60550043,-4.58442986,24.41104979,159.55065063
42,-152.12776022,1.53195140,27.88342276,154.66960777
43,-145.08728933,7.46685759,31.58096624,148.67223317
44,-137.07046647,12.63209369,35.23804959,142.09012178
45,-128.59252221,16.65550013,38.65610501,135.30608599
46,-120.03818057,19.25422228,41.68615275,128.52091348
47,-111.64998612,20.55202774,44.27899889,121.85538555
48,-103.54448892,20.71494518,46.44045913,115.35721210
49,-95.74834431,19.93236133,48.18214637,109.02551855
50,-88.21232144,18.41069818,49.51844278,102.82238879
51,-80.83121194,16.34876958,50.45498163,96.67818918
52,-73.52204720,13.92045676,50.98194965,90.54518061
53,-66.22383181,11.26458359,51.07259241,84.38540418
54,-58.90998896,8.48160865,50.68679682,78.17592888
55,-51.59567290,5.63646311,49.77913171,71.91554167
56,-44.34011809,2.76653555,48.31022429,65.63213818
57,-37.24379508,-0.09716981,46.25984175,59.38924711
58,-30.44002364,-2.89468135,43.63960268,53.28591879
59,-24.08102557,-5.61003637,40.50299355,47.45377526
60,-18.33510651,-8.23411051,36.95046960,42.06321327
61,-13.38006645,-10.69315378,33.12799356,37.29388252
62,-9.23849255,-12.88251111,29.21841288,33.24190862
63,-5.92438902,-14.69643314,25.42643540,29.95975884
64,-3.39268930,-16.03300953,21.95932182,27.40035676
65,-1.54454374,-16.80645018,19.00638983,25.41820680
66,-0.23952460,-16.96249618,16.72071127,23.81944236
67,0.68742948,-16.48728964,15.20587556,22.43929434
68,1.40726396,-15.41019506,14.50954079,21.21276215
69,2.07927643,-13.80039081,14.62405324,20.21477455
70,2.83725369,-11.75834359,15.49309670,19.65565308
71,3.78071485,-9.40413922,17.02245521,19.81150223
72,4.97155862,-6.86491834,19.09266528,20.88955161
73,6.43545043,-4.26340439,21.57153969,22.91119735
74,8.16668117,-1.70890024,24.32507992,25.71623096
75,10.13502501,0.70859823,27.22594592,29.05981719
76,12.29324304,2.98202749,30.15924635,32.70468549
77,14.58419471,4.99887391,33.02585003,36.44714318
78,16.94690026,6.72908684,35.74367284,40.12590417
79,19.32124956,8.16689253,38.24748659,43.62200188
80,21.65132381,9.31903976,40.48777403,46.84959093
81,23.88747151,10.20232878,42.42906679,49.74861321
82,25.98556272,10.84019187,44.04809114,52.27804093
83,27.91106477,11.25981839,45.33193738,54.41319319
84,29.63843597,11.48988124,46.27637695,56.14229530
85,31.14765995,11.55884354,46.88438295,57.46241336
86,32.42473057,11.49377848,47.16486328,58.37803032
87,33.46091385,11.31961541,47.13158819,58.89951658
88,34.25202505,11.05872145,46.80228107,59.04193470
89,34.79775935,10.73073444,46.19783768,58.82408455
90,35.10109490,10.35257483,45.34164172,58.26771956
91,35.16777322,9.93857734,44.25895082,57.39688424
92,35.00585345,9.50069607,42.97633367,56.23733864
93,34.62533188,9.04874883,41.52114639,54.81604748
94,34.03781615,8.59067551,39.92104199,53.16072072
95,33.25624282,8.13279375,38.20351168,51.29939887
96,32.29204222,7.68004071,36.39546027,49.25838552
97,31.16254880,7.23619462,34.52281968,47.06688899
98,29.88375985,6.80407277,32.61020553,44.75220680
99,28.47175696,6.38570503,30.68062183,42.34050932
100,26.94287226,5.98248347,28.75521773,39.85688173
101,25.31350921,5.59528953,26.85309888,37.32519166
102,23.59997116,5.22460082,24.99119475,34.76801558
103,21.81829861,4.87057984,23.18418101,32.20662900
104,19.98411614,4.53314687,21.44445483,29.66106811
105,18.11249099,4.21203932,19.78215920,27.15027491
106,16.21780484,3.90685964,18.20525141,24.69234547
107,14.31364057,3.61711361,16.71960951,22.30491334
108,12.41268542,3.34224065,15.32917046,20.00571915
109,10.52665164,3.08163760,14.03609286,17.81344402
110,8.66621522,2.83467727,12.84093758,15.74891613
111,6.84097302,2.60072255,11.74285952,13.83681392
112,5.05941793,2.37913723,10.73980454,12.10790673
113,3.32893144,2.16929400,9.82870575,10.60146583
114,1.65579265,1.97058030,9.00567466,9.36626992
115,0.04520220,1.78240248,8.26618298,8.45628660
116,-1.49868036,1.60418870,7.60523197,7.91574492
117,-2.97268762,1.43539067,7.01750697,7.75516745
118,-4.37458563,1.27548478,6.49751555,7.93609281
119,-5.70300750,1.12397248,6.03970827,8.38246292
120,-6.95738108,0.98038032,5.63858202,9.00887919
121,-8.13785283,0.84425959,5.28876586,9.74209768
122,-9.24520923,0.71518578,4.98509041,10.52789204
123,-10.28079780,0.59275779,4.72264164,11.32914424
124,-11.24644878,0.47659714,4.49680038,12.12150851
125,-12.14439893,0.36634695,4.30326910,12.88948255
126,-12.97721848,0.26167101,4.13808750,13.62352522
127,-13.74774204,0.16225280,3.99763842,14.31809520
128,-14.45900418,0.06779441,3.87864582,14.97034707
129,-15.11418022,-0.02198437,3.77816619,15.57926400
130,-15.71653247,-0.10734708,3.69357487,16.14507391
131,-16.26936217,-0.18854147,3.62254857,16.66884974
132,-16.77596716,-0.26417577,3.56304513,17.15220551
133,-17.23960518,-0.33554875,3.51328173,17.59715115
134,-17.66346267,-0.40351413,3.47171213,18.00593020
135,-18.05062879,-0.46826018,3.43700385,18.38089940
136,-18.40407436,-0.52996336,3.40801573,18.72445955
137,-18.72663542,-0.58878955,3.38377643,19.03899919
138,-19.02100085,-0.64489472,3.36346398,19.32685315
139,-19.28970394,-0.69842551,3.34638688,19.59027262
140,-19.53511710,-0.74951986,3.33196664,19.83140393
141,-19.75944970,-0.79830749,3.31972196,20.05227422
142,-19.96474834,-0.84491046,3.30925458,20.25478254
143,-20.15289929,-0.88944364,3.30023666,20.44069524
144,-20.32563272,-0.93201516,3.29239968,20.61164461
145,-20.48452837,-0.97272680,3.28552477,20.76913029
146,-20.63102233,-1.01167445,3.27943436,20.91452264
147,-20.76641465,-1.04894842,3.27398505,21.04906763
148,-20.89187759,-1.08463382,3.26906145,21.17389294
149,-21.00846417,-1.11881087,3.26457110,21.29001477
