variant,F1_all,F1_A,F1_B,F1_C,F1_D,TP_all
Ours,0.900473933649289,0.956521739130435,0.933333333333333,0.806451612903226,0.939393939393939,95
Abl_noMeanDiff,0.831775700934579,0.916666666666667,0.838709677419355,0.786885245901639,0.835820895522388,89
Abl_noSimilarity,0.880382775119617,0.956521739130435,0.933333333333333,0.733333333333333,0.939393939393939,92
Abl_noDegrade,0.886699507389163,0.956521739130435,0.915254237288136,0.763636363636364,0.939393939393939,90
Abl_noUpdateGate,0.83495145631068,0.818181818181818,0.9,0.711864406779661,0.892307692307692,86
