t_s,dBx_nT,dBy_nT,dBz_nT,b_nT
0,2.9,-4.2,9.6,10.8724422279449
0.02,4.9,-6.2,11.6,14.0360250783475
0.04,5.9,-10.2,10.6,15.8496056733283
0.06,8.9,-9.2,11.6,17.2745477509543
0.08,7.9,-10.2,13.6,18.7459328922303
0.1,7.9,-16.2,17.6,25.1914668092193
0.12,7.9,-23.2,19.6,31.3816825552742
0.14,4.9,-25.2,19.6,32.2987615861661
0.16,5.9,-25.2,20.6,33.0788452035436
0.18,-0.100000000000001,-22.2,20.6,30.2854750664407
0.2,-0.100000000000001,-25.2,21.6,33.1905106920638
0.22,-4.1,-30.2,26.6,40.4525648136184
0.24,-13.1,-37.2,29.6,49.3113577180755
0.26,-25.1,-46.2,33.6,62.3971954497957
0.28,-38.1,-53.2,38.6,75.9724292095494
0.3,-55.1,-61.2,42.6,92.7157483926005
0.32,-74.1,-65.2,46.6,109.148568474351
0.34,-91.1,-66.2,48.6,122.652395003114
0.36,-106.1,-67.2,49.6,135.030403983695
0.38,-118.1,-66.2,47.6,143.512403645121
0.4,-134.1,-63.2,45.6,155.101289485291
0.42,-151.1,-55.2,45.6,167.205292978422
0.44,-171.1,-45.2,40.6,181.567095036518
0.46,-187.1,-29.2,35.6,192.682147590274
0.48,-195.1,-13.2,28.6,197.626440538709
0.5,-194.1,5.8,19.6,195.17328198296
0.52,-183.1,21.8,12.6,184.823185774945
0.54,-166.1,37.8,5.6,170.438874673591
0.56,-144.1,44.8,2.6,150.925842717541
0.58,-122.1,48.8,-1.4,131.498326985555
0.6,-100.1,51.8,-0.4,112.709405108891
0.62,-77.1,48.8,-0.4,91.2469725525181
0.64,-59.1,44.8,-1.4,74.1741868846568
0.66,-43.1,39.8,0.6,58.6686457999501
0.68,-31.1,30.8,-0.4,43.7722514842451
0.7,-26.1,29.8,0.6,39.6183038506193
0.72,-23.1,23.8,1.6,33.2055718216085
0.74,-17.1,17.8,1.6,24.7347933082126
0.76,-13.1,12.8,3.6,18.6657440248172
0.78,-11.1,10.8,4.6,16.1558039106694
0.8,-8.1,9.8,3.6,13.2140077190836
0.82,-7.1,8.8,3.6,11.8663389467856
0.84,-7.1,6.8,2.6,10.169070754007
