t_local_s,t_plot_s,dBx_nT,dBy_nT,dBz_nT,b_nT
0.000000000000000000e+00,1.121999999999999886e+01,-1.629999999999999716e+01,-5.199999999999999289e+00,2.880000000000000071e+01,3.349880594886928264e+01
2.000000000000001776e-02,1.123999999999999844e+01,-1.129999999999999716e+01,-2.199999999999999289e+00,2.980000000000000071e+01,3.194636129514596234e+01
4.000000000000003553e-02,1.125999999999999801e+01,-1.529999999999999716e+01,-1.219999999999999929e+01,3.379999999999999716e+01,3.905598545677729305e+01
6.000000000000005329e-02,1.127999999999999936e+01,-1.429999999999999716e+01,-1.219999999999999929e+01,3.080000000000000071e+01,3.608282139744618178e+01
7.999999999999996003e-02,1.129999999999999893e+01,-2.029999999999999716e+01,-2.219999999999999929e+01,3.379999999999999716e+01,4.524787287818068648e+01
9.999999999999997780e-02,1.131999999999999851e+01,-2.429999999999999716e+01,-3.420000000000000284e+01,3.779999999999999716e+01,5.647096599138357220e+01
1.199999999999999956e-01,1.133999999999999808e+01,-2.829999999999999716e+01,-4.420000000000000284e+01,3.679999999999999716e+01,6.409968798676013080e+01
1.400000000000000133e-01,1.135999999999999943e+01,-3.629999999999999716e+01,-6.020000000000000284e+01,3.879999999999999716e+01,8.029427127759488769e+01
1.600000000000000311e-01,1.137999999999999901e+01,-5.429999999999999716e+01,-7.320000000000000284e+01,3.679999999999999716e+01,9.829023349244826591e+01
1.800000000000000488e-01,1.139999999999999858e+01,-6.529999999999999716e+01,-8.620000000000000284e+01,4.179999999999999716e+01,1.159386475684445656e+02
2.000000000000000666e-01,1.141999999999999815e+01,-8.729999999999999716e+01,-1.002000000000000028e+02,3.379999999999999716e+01,1.371268390943217241e+02
2.200000000000000844e-01,1.143999999999999950e+01,-1.563000000000000114e+02,-1.152000000000000028e+02,1.680000000000000071e+01,1.948922009727428701e+02
2.400000000000001021e-01,1.145999999999999908e+01,-2.713000000000000114e+02,-1.331999999999999886e+02,-6.199999999999999289e+00,3.022984783289522284e+02
2.600000000000001199e-01,1.147999999999999865e+01,-4.083000000000000114e+02,-1.182000000000000028e+02,-3.119999999999999929e+01,4.262083645354699115e+02
2.799999999999999156e-01,1.149999999999999822e+01,-4.863000000000000114e+02,-7.520000000000000284e+01,-4.220000000000000284e+01,4.938861913437143585e+02
2.999999999999999334e-01,1.151999999999999957e+01,-5.242999999999999545e+02,-2.419999999999999929e+01,-3.620000000000000284e+01,5.261050940639141800e+02
3.199999999999999512e-01,1.153999999999999915e+01,-5.392999999999999545e+02,3.080000000000000071e+01,-4.020000000000000284e+01,5.416725671473495822e+02
3.399999999999999689e-01,1.155999999999999872e+01,-5.372999999999999545e+02,7.779999999999999716e+01,-3.220000000000000284e+01,5.438574905248616460e+02
3.599999999999999867e-01,1.157999999999999829e+01,-5.113000000000000114e+02,9.779999999999999716e+01,-1.519999999999999929e+01,5.207912921699056596e+02
3.800000000000000044e-01,1.159999999999999964e+01,-4.963000000000000114e+02,8.279999999999999716e+01,-1.119999999999999929e+01,5.032841841345702392e+02
4.000000000000000222e-01,1.161999999999999922e+01,-4.963000000000000114e+02,5.479999999999999716e+01,-1.419999999999999929e+01,4.995181378088287261e+02
4.200000000000000400e-01,1.163999999999999879e+01,-4.923000000000000114e+02,6.779999999999999716e+01,-9.199999999999999289e+00,4.970319607429687494e+02
4.400000000000000577e-01,1.165999999999999837e+01,-4.803000000000000114e+02,9.379999999999999716e+01,3.800000000000000711e+00,4.893883631636534801e+02
4.600000000000000755e-01,1.167999999999999972e+01,-4.613000000000000114e+02,1.127999999999999972e+02,1.680000000000000071e+01,4.751881416870585326e+02
4.800000000000000933e-01,1.169999999999999929e+01,-4.383000000000000114e+02,1.187999999999999972e+02,2.580000000000000071e+01,4.548471941212785055e+02
5.000000000000001110e-01,1.171999999999999886e+01,-4.093000000000000114e+02,1.247999999999999972e+02,3.979999999999999716e+01,4.297505904591639023e+02
5.199999999999999067e-01,1.173999999999999844e+01,-3.893000000000000114e+02,1.247999999999999972e+02,4.679999999999999716e+01,4.114848356865657593e+02
5.399999999999999245e-01,1.175999999999999801e+01,-3.643000000000000114e+02,1.137999999999999972e+02,4.779999999999999716e+01,3.846423923594485927e+02
5.599999999999999423e-01,1.177999999999999936e+01,-3.583000000000000114e+02,1.177999999999999972e+02,4.779999999999999716e+01,3.801849155345330473e+02
5.799999999999999600e-01,1.179999999999999893e+01,-3.423000000000000114e+02,1.057999999999999972e+02,4.679999999999999716e+01,3.613214220053939698e+02
5.999999999999999778e-01,1.181999999999999851e+01,-3.323000000000000114e+02,1.097999999999999972e+02,4.479999999999999716e+01,3.528262603605349454e+02
6.199999999999999956e-01,1.183999999999999808e+01,-3.163000000000000114e+02,1.017999999999999972e+02,4.579999999999999716e+01,3.354199904597219870e+02
6.400000000000000133e-01,1.185999999999999943e+01,-2.913000000000000114e+02,1.037999999999999972e+02,4.379999999999999716e+01,3.123276644807501157e+02
6.600000000000000311e-01,1.187999999999999901e+01,-2.733000000000000114e+02,9.979999999999999716e+01,4.679999999999999716e+01,2.946916524097688352e+02
6.800000000000000488e-01,1.189999999999999858e+01,-2.513000000000000114e+02,1.007999999999999972e+02,5.479999999999999716e+01,2.762523665057007065e+02
7.000000000000000666e-01,1.191999999999999815e+01,-2.253000000000000114e+02,9.779999999999999716e+01,6.679999999999999716e+01,2.545332394796404571e+02
7.200000000000000844e-01,1.193999999999999950e+01,-1.963000000000000114e+02,8.579999999999999716e+01,8.379999999999999716e+01,2.300386271911741574e+02
7.400000000000001021e-01,1.195999999999999908e+01,-1.823000000000000114e+02,3.080000000000000071e+01,9.679999999999999716e+01,2.086915666719668820e+02
7.600000000000001199e-01,1.197999999999999865e+01,-2.173000000000000114e+02,-7.320000000000000284e+01,8.879999999999999716e+01,2.458921918239780382e+02
7.799999999999999156e-01,1.199999999999999822e+01,-2.943000000000000114e+02,-1.002000000000000028e+02,6.579999999999999716e+01,3.177769186080071222e+02
7.999999999999999334e-01,1.201999999999999957e+01,-3.713000000000000114e+02,-6.920000000000000284e+01,3.879999999999999716e+01,3.796811425393681816e+02
8.199999999999999512e-01,1.203999999999999915e+01,-4.243000000000000114e+02,-6.199999999999999289e+00,2.080000000000000071e+01,4.248547634192183864e+02
8.399999999999999689e-01,1.205999999999999872e+01,-4.323000000000000114e+02,6.779999999999999716e+01,1.880000000000000071e+01,4.379880934454725434e+02
8.599999999999999867e-01,1.207999999999999829e+01,-4.073000000000000114e+02,7.479999999999999716e+01,2.580000000000000071e+01,4.149144128612550730e+02
8.800000000000000044e-01,1.209999999999999964e+01,-3.733000000000000114e+02,2.280000000000000071e+01,3.679999999999999716e+01,3.758017695541094554e+02
9.000000000000000222e-01,1.211999999999999922e+01,-3.773000000000000114e+02,4.579999999999999716e+01,3.479999999999999716e+01,3.816594948380035248e+02
9.200000000000000400e-01,1.213999999999999879e+01,-3.833000000000000114e+02,7.779999999999999716e+01,2.880000000000000071e+01,3.921749227066922003e+02
9.400000000000000577e-01,1.215999999999999837e+01,-3.653000000000000114e+02,1.127999999999999972e+02,3.180000000000000071e+01,3.836393749343255308e+02
9.600000000000000755e-01,1.217999999999999972e+01,-3.303000000000000114e+02,1.398000000000000114e+02,3.180000000000000071e+01,3.600741173702992342e+02
9.800000000000000933e-01,1.219999999999999929e+01,-2.853000000000000114e+02,1.498000000000000114e+02,3.879999999999999716e+01,3.245636609357246130e+02
1.000000000000000000e+00,1.221999999999999886e+01,-2.433000000000000114e+02,1.508000000000000114e+02,4.479999999999999716e+01,2.897284418209575847e+02
1.020000000000000018e+00,1.223999999999999844e+01,-1.963000000000000114e+02,1.388000000000000114e+02,4.779999999999999716e+01,2.451203173953558689e+02
1.040000000000000036e+00,1.225999999999999801e+01,-1.563000000000000114e+02,1.288000000000000114e+02,4.879999999999999716e+01,2.083280345992828870e+02
1.060000000000000053e+00,1.227999999999999936e+01,-1.142999999999999972e+02,1.117999999999999972e+02,4.879999999999999716e+01,1.671680890600834744e+02
1.080000000000000071e+00,1.229999999999999893e+01,-8.329999999999999716e+01,9.579999999999999716e+01,5.179999999999999716e+01,1.371122532817545050e+02
1.100000000000000089e+00,1.231999999999999851e+01,-6.029999999999999716e+01,7.679999999999999716e+01,4.979999999999999716e+01,1.096100816531034212e+02
1.120000000000000107e+00,1.233999999999999986e+01,-3.929999999999999716e+01,5.979999999999999716e+01,4.979999999999999716e+01,8.718124798372639361e+01
1.140000000000000124e+00,1.235999999999999943e+01,-2.729999999999999716e+01,5.479999999999999716e+01,4.979999999999999716e+01,7.892002280790343605e+01
1.160000000000000142e+00,1.237999999999999901e+01,-2.229999999999999716e+01,4.379999999999999716e+01,4.279999999999999716e+01,6.517338413800528940e+01
1.180000000000000160e+00,1.239999999999999858e+01,-1.829999999999999716e+01,3.479999999999999716e+01,4.779999999999999716e+01,6.189321449076626891e+01
1.200000000000000178e+00,1.241999999999999815e+01,-1.029999999999999716e+01,2.480000000000000071e+01,3.979999999999999716e+01,4.801218595315151560e+01
1.220000000000000195e+00,1.243999999999999950e+01,-5.299999999999997158e+00,1.480000000000000071e+01,3.879999999999999716e+01,4.186370743257218408e+01
1.240000000000000213e+00,1.245999999999999908e+01,2.700000000000002842e+00,1.080000000000000071e+01,3.180000000000000071e+01,3.369228398313180861e+01
1.260000000000000231e+00,1.247999999999999865e+01,2.700000000000002842e+00,9.800000000000000711e+00,3.479999999999999716e+01,3.625424113121111702e+01
1.280000000000000249e+00,1.250000000000000000e+01,4.700000000000002842e+00,7.800000000000000711e+00,2.780000000000000071e+01,2.925354679350864728e+01
