speed_kmh,full_samples,cropped_samples,crop_start,crop_end,sample_spacing_m,peak_abs_x,peak_abs_y,peak_abs_z
20,274,225,49,273,0.11111111,234.67445063,45.38155540,66.42184472
30,183,153,30,182,0.16666667,204.79908351,24.57420925,53.03331270
40,138,118,20,137,0.22222222,178.45006213,32.34908942,43.84443846
50,110,96,14,109,0.27777778,155.85185923,39.13649609,38.64678521
