speed_kmh,full_samples,cropped_samples,crop_start,crop_end,sample_spacing_m,peak_abs_x,peak_abs_y,peak_abs_z
20,274,225,49,273,0.11111111,193.68423101,72.47525719,70.63384578
30,183,153,30,182,0.16666667,178.76536585,58.50664601,65.09947869
40,138,118,20,137,0.22222222,165.41185285,47.91911228,59.92311879
50,110,96,14,109,0.27777778,153.49868185,39.98741649,55.06089143
