method,test_acc,test_f1
端侧 Softmax（部署）,0.8829268292682927,0.8667061832557689
端侧 SVM（对照）,0.8439024390243902,0.8178163672296991
离线 CNN（线性定长）,0.9463414634146341,0.948601467899293
DTW-MultiTemplate(K=4) + CNN（本文方法）,0.9414634146341463,0.9411657259758526
