speed_kmh,full_samples,cropped_samples,crop_start,crop_end,sample_spacing_m,peak_abs_x,peak_abs_y,peak_abs_z
20,274,225,49,273,0.11111111,234.67445063,45.38155540,66.42184472
30,183,153,30,182,0.16666667,206.41358615,24.97815534,53.45815481
40,138,118,20,137,0.22222222,181.34982319,34.29262942,44.37206553
50,110,96,14,109,0.27777778,160.16814126,43.24627251,39.41271998
