sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,4.56109139,-2.10957531,-2.91815060,5.81115011
1,5.96407928,-1.56956232,-3.03083587,6.87166164
2,7.38265284,-0.75143852,-3.04821879,8.02245976
3,8.79035845,0.43268582,-2.93123653,9.27630132
4,10.14805787,2.07749076,-2.63177361,10.68762269
5,11.39919729,4.27337112,-2.09392012,12.35264753
6,12.46370999,7.08921510,-1.25770791,14.39384822
7,13.23021541,10.54887368,-0.06585567,16.92104231
8,13.54614402,14.60267027,1.52715090,19.97669108
9,13.20571971,19.09766464,3.54678722,23.48811459
10,11.93707809,23.75357870,5.99769371,27.25249831
11,9.39344935,28.15467521,8.87949979,30.98012497
12,5.16063737,31.76943110,12.22409017,34.42901844
13,-1.19685227,34.00550441,16.13830466,37.65968220
14,-10.02425860,34.29262942,20.86112322,41.37217247
15,-21.39745862,32.16331150,26.31528676,46.74210264
16,-34.96130706,27.29645022,31.77985314,54.56508271
17,-50.01172178,19.55634818,35.51382825,64.38054882
18,-66.07405856,9.12917351,35.20156920,75.42064371
19,-83.78383198,-2.31617732,29.56059157,88.87588960
20,-104.93838068,-11.66508559,20.02528478,107.46697163
21,-130.56418664,-15.26703720,10.47601388,131.87052789
22,-156.26302564,-11.28672861,4.69426845,156.74042102
23,-174.90878581,-1.47778334,3.93836004,174.95936064
24,-181.34982319,9.49574866,6.77626724,181.72464173
25,-176.31904351,16.84555034,10.66120324,177.44249470
26,-165.69133735,18.53100208,13.49675919,167.26978155
27,-156.27718379,14.86028325,14.31963797,157.63387397
28,-151.88550017,8.07507282,13.25025559,152.67606635
29,-152.21309844,1.64617914,11.44507805,152.65165264
30,-154.40265724,-2.20234464,10.22935892,154.75681138
31,-155.39535692,-2.80866166,10.21679108,155.75618239
32,-153.41440690,-0.44371215,11.63825587,153.85586152
33,-148.17011245,4.08641291,14.40794649,148.92504798
34,-140.31733228,9.70552920,18.18843530,141.82372938
35,-130.81997702,15.24113434,22.50229535,133.61329222
36,-120.54787235,19.50651570,26.81448275,125.02523812
37,-110.12349320,22.19627442,30.78313342,116.47943877
38,-99.91646913,23.24713283,34.26058940,108.15506448
39,-90.09303261,22.78700216,37.18461036,100.09344255
40,-80.73176423,21.07890673,39.54197273,92.33366488
41,-71.67700313,18.45416803,41.33017597,84.77223921
42,-62.84108978,15.24523963,42.52740639,77.39509151
43,-54.18718426,11.73283883,43.07884992,70.21180638
44,-45.73603406,8.11796272,42.90270393,63.23233456
45,-37.57831096,4.52590434,41.91451674,56.47512708
46,-29.88120436,1.01184944,40.06434229,49.99061648
47,-23.05163694,-2.41831955,37.37744999,43.98067761
48,-17.21689683,-5.70397990,33.97730722,38.51511819
49,-12.53381510,-8.68541066,30.14040147,33.77834632
50,-9.06412244,-11.18404283,26.23824530,29.92802443
51,-6.75154541,-13.01418022,22.65896597,26.98853443
52,-5.42256594,-14.01012471,19.76704171,24.82788258
53,-4.81166239,-14.07058751,17.84569555,23.22934303
54,-4.60626614,-13.19038331,17.05681133,22.04855352
55,-4.49957545,-11.46848184,17.42647129,21.34137195
56,-4.23705216,-9.09081458,18.85622594,21.35773343
57,-3.64595386,-6.29522496,21.15336535,22.36934738
58,-2.62756429,-3.33057225,24.07003259,24.44101623
59,-1.19998543,-0.45169701,27.34142763,27.37147530
60,0.56232178,2.15762390,30.71639722,30.79721749
61,2.56111597,4.41802157,33.97756523,34.35917881
62,4.68510179,6.27706405,36.95135106,37.77239808
63,6.82448335,7.71652099,39.51008141,40.83092947
64,8.88076104,8.73857992,41.56897141,43.39596848
65,10.77220089,9.40608552,43.07941979,45.39109127
66,12.43589437,9.77032373,44.00330475,46.75897265
67,13.82745274,9.88509814,44.37206553,47.51624789
68,14.91927844,9.80195061,44.21409192,47.68174734
69,15.69814863,9.56737783,43.57139637,47.29094174
70,16.16261821,9.22152620,42.49576742,46.39134641
71,16.32054995,8.79788810,41.04554499,45.03887153
72,16.18692727,8.32361481,39.28286818,43.29483699
73,15.78200190,7.82016320,37.27129029,41.22348380
74,15.12976684,7.30408351,35.07370231,38.88989681
75,14.25671395,6.78782692,32.75054361,36.35830845
76,13.19082501,6.28050321,30.35830186,33.69078623
77,11.96074716,5.78855378,27.94831383,30.94632569
78,10.59511164,5.31632769,25.56587766,28.18038026
79,9.12196531,4.86656133,23.24967843,25.44486623
80,7.56560183,4.44076963,21.03151658,22.78779181
81,5.95594129,4.03955956,18.93631593,20.25772295
82,4.31675929,3.66287763,16.98237615,17.90117825
83,2.66955979,3.31020282,15.18182657,15.76616156
84,1.03356595,2.98069486,13.54123309,13.90387694
85,-0.57438762,2.67330674,12.06230891,12.36833806
86,-2.13989899,2.38686899,10.74268210,11.21077740
87,-3.65098379,2.12015158,9.57667766,10.46601550
88,-5.09800712,1.87190874,8.55607839,10.13411054
