epoch,train_loss,train_loss_eval,train_acc,train_f1,val_loss,val_acc,val_f1
1,1.050855485964021,0.9985855832758309,0.5690376569037657,0.35978148697765366,0.9828522205352783,0.6048780487804878,0.4064039408866995
2,0.9197639129650643,0.8137200058254737,0.6746861924686193,0.6012854544449162,0.7703904509544373,0.7463414634146341,0.7060770558399243
3,0.7358825141914719,0.6695239790812696,0.6820083682008368,0.6259147817982574,0.5864921808242798,0.7219512195121951,0.6787368172109763
4,0.6526621585111738,0.6198611089874012,0.7123430962343096,0.6740153764126675,0.5131433606147766,0.7658536585365854,0.7378291488058788
5,0.6090497843391227,0.6059032263366747,0.7301255230125523,0.7080299760780989,0.5394259691238403,0.7658536585365854,0.7388236068595503
6,0.5894922895910351,0.569549159275438,0.7311715481171548,0.6945883571658045,0.4697565734386444,0.7853658536585366,0.7522670419011882
7,0.5687100655364192,0.5503641312092418,0.7468619246861925,0.7199856720384172,0.4667753279209137,0.7951219512195122,0.7715195701359291
8,0.5606764018785005,0.5370875877565918,0.75,0.7283072534387977,0.4504963457584381,0.7951219512195122,0.7752143025885053
9,0.5413572079965759,0.5267679858407216,0.752092050209205,0.7266714766714767,0.4295807182788849,0.8146341463414634,0.7918741808650065
10,0.5408788367045974,0.5155880817808367,0.7688284518828452,0.7518435887259654,0.4284976124763489,0.8146341463414634,0.7965349102604004
11,0.5273221739914626,0.5046168207872862,0.7709205020920502,0.7503572183398477,0.41244104504585266,0.8048780487804879,0.7847296843098008
12,0.5178417466175607,0.4951815262249823,0.7698744769874477,0.7468389271902783,0.4013395607471466,0.8097560975609757,0.7884008039046799
13,0.5068352402004737,0.48778427781919054,0.7740585774058577,0.7532866026355025,0.3920426070690155,0.8195121951219512,0.7973012740969777
14,0.49430016344062455,0.4788090511844747,0.7845188284518828,0.7676275444657837,0.38461899757385254,0.8195121951219512,0.7975943022226332
15,0.49310666123194674,0.46936509748881833,0.7855648535564853,0.7677883370705145,0.3775349259376526,0.824390243902439,0.8061598951507208
16,0.4775711758116798,0.4877877768487611,0.7981171548117155,0.7786448965672094,0.4208994507789612,0.8195121951219512,0.7930078196035643
17,0.4813940386642472,0.46789325730072406,0.8002092050209205,0.7817972091438031,0.38856521248817444,0.8195121951219512,0.793640417553461
18,0.47303264622408975,0.4518399269760403,0.805439330543933,0.794983476717853,0.3686184287071228,0.8585365853658536,0.847139253224415
19,0.45929945350690865,0.44290851736168485,0.8179916317991632,0.8096539885113151,0.3588417172431946,0.8634146341463415,0.8497821350762527
20,0.46902776063735513,0.4354366660118103,0.8200836820083682,0.8081598617395628,0.3570687770843506,0.8731707317073171,0.8604497932673473
