preset_name,lr,weight_decay,max_epochs,patience,val_acc,val_f1,test_acc,test_f1,best_epoch,train_s
B1,0.0003,0.0001,160,20,0.9073170731707317,0.9072235642735208,0.8536585365853658,0.8500252499715683,91,37.121291160583496
B2,0.0003,0.0001,200,30,0.9073170731707317,0.9072235642735208,0.8536585365853658,0.8500252499715683,91,37.600375175476074
B3,0.0005,0.0001,200,30,0.9317073170731708,0.9316895893279832,0.9073170731707317,0.8997428508851787,134,51.078375577926636
B4,0.0003,0.0001,240,40,0.9073170731707317,0.9072235642735208,0.8536585365853658,0.8500252499715683,91,40.73142385482788
