sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,-1.84566727,-1.44572522,-1.58902235,2.83224312
1,-0.51828960,-0.96148759,-1.74181593,2.05596820
2,0.84178290,-0.14584377,-1.73941076,1.93789025
3,2.19634680,1.13930562,-1.47316970,2.87961551
4,3.48352895,3.04642503,-0.79249187,4.69507432
5,4.60926758,5.71497147,0.49031563,7.35844113
6,5.43844361,9.22550061,2.57441704,11.01427045
7,5.78640970,13.53585043,5.61467563,15.75520125
8,5.41045451,18.40830050,9.63674826,21.47103776
9,3.99873016,23.34962672,14.46995576,27.75922424
10,1.15500716,27.60139254,19.55077824,33.84381541
11,-3.60925136,30.22624042,24.34787963,38.98039953
12,-10.82853508,29.93567042,28.54166040,42.75544309
13,-20.89712876,26.50554713,31.92228519,46.45714488
14,-33.79789281,20.05077918,33.23213312,51.46558049
15,-48.82477999,11.25734010,30.29530047,58.55247286
16,-65.61171493,1.68886472,21.99100849,69.21960600
17,-85.93531220,-5.71196010,10.93266906,86.81605625
18,-110.46822219,-7.57362936,1.87954479,110.74349039
19,-132.41555156,-3.22093301,-2.45214628,132.47741591
20,-141.76897321,3.79805593,-2.55119749,141.84278481
21,-139.01970824,8.75435850,-0.50970369,139.29600809
22,-132.24703890,10.55548777,0.91421664,132.67077075
23,-128.59945615,9.89659366,1.34318310,128.98669245
24,-128.97742140,7.85108510,0.96786591,129.21977996
25,-130.05509415,5.53225970,0.11093467,130.17275336
26,-128.75912482,4.45517407,-0.06838891,128.83619631
27,-124.24126467,4.46221534,0.62898965,124.32296184
28,-117.19056070,5.51089401,2.40765301,117.34476666
29,-108.62983037,7.58096714,5.54079924,109.03490984
30,-99.35849396,9.67226744,9.36837700,100.26679195
31,-90.10804793,11.45405026,13.43464946,91.82126865
32,-81.25532210,12.62799448,17.44919637,84.06169203
33,-72.75809192,12.75295354,21.16628763,76.84002534
34,-64.70902344,11.96294813,24.43896494,70.19710001
35,-57.08495633,10.52776264,27.12125909,64.07096628
36,-49.68661396,8.62902101,29.27015428,58.30918917
37,-42.50774132,6.46456931,30.80447651,52.89248058
38,-35.75045203,4.20726467,31.60872698,47.90519301
39,-29.56763801,1.97309484,31.56270573,43.29367983
40,-24.08417040,-0.17750249,30.59321127,38.93614448
41,-19.52609464,-2.19497962,28.73829185,34.81344174
42,-16.11502092,-4.16533554,26.20095803,31.04084601
43,-14.12327089,-5.81451085,23.36008439,27.91001361
44,-13.37624945,-6.94742427,20.71424806,25.61778340
45,-13.45585440,-7.39739023,18.76508582,24.24685229
46,-14.02157025,-7.07148999,17.88383729,23.80004284
47,-14.71510064,-5.99165864,18.21852746,24.17330972
48,-15.22422989,-4.37260244,19.67698839,25.26025930
49,-15.33557486,-2.48769101,21.98057975,26.91680422
50,-14.95883076,-0.65712453,24.75433567,28.93052998
51,-14.11813024,0.97397401,27.61531584,31.03024163
52,-12.91980499,2.33336782,30.23531618,32.96271092
53,-11.51169433,3.36946021,32.37211932,34.52283994
54,-10.04685374,4.08238209,33.87535815,35.56887690
55,-8.65842500,4.50534584,34.67700156,36.02444867
56,-7.44671716,4.67847970,34.77518806,35.86998011
57,-6.47612528,4.66470188,34.21699462,35.13548581
58,-5.77837229,4.52171896,33.08285362,33.88673387
59,-5.35886789,4.29020037,31.45327149,32.19365732
60,-5.20388172,4.00271771,29.46608110,30.18860827
61,-5.28717356,3.68422721,27.24048590,27.99235264
62,-5.57545880,3.35310468,24.87986326,25.71646647
63,-6.03256151,3.02234943,22.47662493,23.46753210
64,-6.62236214,2.70074642,20.10933949,21.34327168
65,-7.31075202,2.39388769,17.84122056,19.42902325
66,-8.06682427,2.10501902,15.71981665,17.79374594
67,-8.86350539,1.83571373,13.77769381,16.48503623
68,-9.67779278,1.58639163,12.03386968,15.52386328
69,-10.49072329,1.35670792,10.49574593,14.90156415
70,-11.28668548,1.14583723,9.16129806,14.58189269
71,-12.05288595,0.95267570,8.02131389,14.50934621
72,-12.78163867,0.77598106,7.06151613,14.62318172
73,-13.46763942,0.61446658,6.26445425,14.86601049
74,-14.10779164,0.46686182,5.61109819,15.18987056
75,-14.70080412,0.33194976,5.08210728,15.55800909
76,-15.24681866,0.20858774,4.65877990,15.94406530
77,-15.74707477,0.09571754,4.32371136,16.33015632
78,-16.20361568,-0.00763169,4.06120085,16.70480684
79,-16.61903691,-0.10234489,3.85745429,17.06114932
80,-16.99627683,-0.18922515,3.70063023,17.39551369
81,-17.33844686,-0.26899918,3.58077239,17.70638391
82,-17.64869813,-0.34232331,3.48966697,17.99365184
83,-17.93012032,-0.40978973,3.42065600,18.25809491
84,-18.18566848,-0.47738432,3.36843107,18.50115569
85,-18.41811329,-0.54011288,3.32882539,18.72430766
86,-18.63001038,-0.59801599,3.29861665,18.92923088
87,-18.82368503,-0.65152196,3.27534802,19.11762286
88,-19.00122841,-0.70101764,3.25717165,19.29111905
89,-19.16450259,-0.74685234,3.24271557,19.45125066
90,-19.31515162,-0.78934166,3.23097349,19.59942173
91,-19.45461671,-0.82877096,3.22121573,19.73689954
92,-19.58415377,-0.86539844,3.21291861,19.86481410
93,-19.70485200,-0.89945795,3.20570959,19.98416351
94,-19.81765272,-0.93116142,3.19932555,20.09582307
95,-19.92336752,-0.96070110,3.19358144,20.20055649
