F1_A,F1_B,F1_C,F1_D,F1_ALL,tau_in_C_median,stable_found_ratio_C,degrade_ratio_C,T_seek_sec
0.0,0.0,0.2545454545454545,0.0,0.10606060606060605,2.16,0.0,1.0,0.0
0.0,0.0,0.3928571428571428,0.0,0.15827338129496402,1.86,0.014519056261343012,0.985480943738657,0.5
0.5555555555555556,0.625,0.6181818181818182,0.6666666666666667,0.6285714285714286,2.2,0.0852994555353902,0.9147005444646098,1.0
0.761904761904762,0.6909090909090909,0.6071428571428571,0.7540983606557378,0.6943005181347149,0.64,0.15789473684210525,0.8421052631578947,1.5
0.9565217391304348,0.9508196721311476,0.7741935483870968,0.9850746268656716,0.9107981220657277,0.9299999999999999,0.24319419237749546,0.7568058076225045,2.0
1.0,0.967741935483871,0.8064516129032258,1.0,0.9351851851851852,0.64,0.29945553539019965,0.7005444646098004,2.5
1.0,0.967741935483871,0.9032258064516129,1.0,0.9629629629629629,1.0899999999999999,0.33756805807622503,0.662431941923775,3.0
0.9166666666666666,0.8709677419354839,0.819672131147541,0.8823529411764706,0.8651162790697675,1.68,0.39019963702359345,0.6098003629764065,3.5
0.9166666666666666,0.8709677419354839,0.84375,0.8823529411764706,0.8715596330275229,1.18,0.44101633393829404,0.558983666061706,4.0
0.9166666666666666,0.8852459016393444,0.7868852459016393,0.8823529411764706,0.8598130841121496,0.9299999999999999,0.47368421052631576,0.5263157894736842,4.5
0.8695652173913043,0.8333333333333334,0.7301587301587302,0.8656716417910447,0.8169014084507044,0.74,0.5263157894736842,0.47368421052631576,5.0
0.8695652173913043,0.8333333333333334,0.7419354838709677,0.8656716417910447,0.8207547169811321,0.86,0.5535390199637024,0.44646098003629764,5.5
0.8695652173913043,0.8333333333333334,0.7666666666666667,0.8656716417910447,0.8285714285714286,0.86,0.5843920145190563,0.41560798548094374,6.0
0.8695652173913043,0.7999999999999999,0.7868852459016393,0.8656716417910447,0.8246445497630333,0.9299999999999999,0.6134301270417423,0.38656987295825773,6.5
0.8695652173913043,0.7999999999999999,0.6451612903225806,0.8656716417910447,0.7830188679245284,1.27,0.631578947368421,0.3684210526315789,7.0
