speed_kmh,full_samples,cropped_samples,crop_start,crop_end,sample_spacing_m,peak_abs_x,peak_abs_y,peak_abs_z
20,274,225,49,273,0.11111111,234.67445063,45.38155540,66.42184472
30,183,153,30,182,0.16666667,218.37906697,27.92236502,56.93059153
40,138,118,20,137,0.22222222,201.95658282,40.71446768,48.90124812
50,110,96,14,109,0.27777778,186.48029225,56.02046487,44.61944637
