K,in_ch,build_s,train_s,val_acc,val_f1,test_acc,test_f1,best_epoch
1,12,0.24646234512329102,178.17849326133728,0.9707317073170731,0.9740670461733081,0.9609756097560975,0.9582801191996594,365
2,24,0.4273064136505127,185.6661832332611,0.9512195121951219,0.9467428750391482,0.9414634146341463,0.9353727473634446,268
3,36,0.638455867767334,158.60491919517517,0.9463414634146341,0.9426524780087293,0.9463414634146341,0.9397748494147852,147
4,48,0.5960824489593506,174.86245369911194,0.9707317073170731,0.9691341017281229,0.9414634146341463,0.9375859912445278,135
5,60,0.7313714027404785,189.41252946853638,0.9609756097560975,0.9580188633427552,0.9609756097560975,0.9547619047619046,118
6,72,0.7642338275909424,2205.1764183044434,0.9658536585365853,0.9646496642062052,0.9414634146341463,0.9396994351585239,83
