name,lr,weight_decay,max_epochs,patience,baseline_val_f1,baseline_test_f1,multi_val_f1,multi_test_f1,baseline_best_epoch,multi_best_epoch,score,baseline_train_s,multi_train_s
P1,0.001,0.0001,500,100,0.9716447228609336,0.9377404237455127,0.964769647696477,0.9378274055693411,228,236,0.9675196777622597,104.39800691604614,260.2677435874939
P2,0.0007,0.0001,500,100,0.9716447228609336,0.9541312836445499,0.9691341017281229,0.9375859912445278,260,135,0.9701383501812472,109.79795861244202,182.23441457748413
P3,0.0005,0.0001,500,100,0.9718015771655618,0.948601467899293,0.9669914513224204,0.9411657259758526,468,79,0.968915501659677,152.70084929466248,138.777508020401
P4,0.0005,0.0003,500,100,0.969333799739421,0.9500040307720656,0.9646496642062052,0.941313447028746,424,98,0.9665233184194916,152.18161249160767,154.19738030433655
