K,in_ch,val_f1,test_acc,test_f1
3,36,0.9580188633427552,0.9560975609756096,0.9482604392014988
4,48,0.971625660103674,0.9365853658536586,0.9337465626161278
5,60,0.9629843065253226,0.951219512195122,0.9498058526116688
6,72,0.9692049387287042,0.946341463414634,0.9453984856509466
