method,test_acc,test_f1
Edge Softmax,0.8975609756097561,0.8838910551697721
Edge SVM,0.8634146341463415,0.8433452168746286
Offline CNN (fixed-length),0.9073170731707317,0.8997428508851787
DTW-MultiTemplate-DBA(K=4) + CNN,0.9414634146341463,0.9378274055693411
