local_sample,normalized_magnitude,x_nT,y_nT,z_nT
0,0.77244078,-101.59928523,-44.00807299,-11.03268573
1,0.85745471,-119.55767867,-29.42181630,-9.81706746
2,0.96448788,-138.45084508,-9.47734996,-6.63618468
3,1.00000000,-143.50863743,12.41885592,1.06280547
4,0.98080636,-137.24518829,32.05237459,9.87901570
5,0.92181670,-122.14333371,48.61800943,18.69755989
6,0.80995221,-106.79113137,41.43329494,22.16893925
7,0.68551348,-93.45275937,22.68366063,22.42978040
8,0.64352058,-90.48926955,5.33407378,19.39689052
9,0.64835476,-91.72206325,-3.08861044,17.32370859
10,0.67223700,-95.00466924,2.98814201,18.49868735
11,0.68599635,-96.17079625,9.85056727,20.46822242
12,0.68873802,-95.41012848,15.18279933,22.56994097
13,0.68591664,-92.40331325,22.53227457,26.76674929
14,0.68118157,-87.82448150,29.86049965,31.99100090
15,0.66713520,-80.80319978,35.27265433,38.23494174
16,0.64372334,-71.61222375,38.98405628,44.16274567
17,0.61445440,-60.66974647,41.32293096,49.45583729
18,0.57754182,-48.20112803,41.40501947,53.69880272
19,0.54367818,-35.22781900,40.10014902,57.30979965
20,0.51450277,-23.29080505,36.69650345,60.03103193
21,0.48813341,-12.39105462,31.99067252,61.37808648
22,0.45987121,-2.74752782,26.09906821,60.82392442
23,0.43570842,6.04808358,20.36210958,59.05962623
24,0.41871898,14.37743897,14.91836346,56.64585304
25,0.40129923,21.21981882,9.59985423,52.90726148
26,0.38682760,27.03713746,4.32818416,48.53052151
27,0.37225134,31.28242400,-0.92433731,43.54212994
28,0.35946701,34.42203183,-5.84510649,38.23888951
29,0.34932869,36.75940717,-10.40032717,32.75245410
30,0.33238782,36.87655668,-14.48708369,26.88397485
31,0.31299266,35.67530834,-18.12886539,20.76984615
32,0.28606462,32.90423031,-20.30536602,14.24938264
33,0.25836321,29.41697619,-21.46735590,7.67427628
34,0.23214785,25.48138946,-21.62226052,1.20550361
35,0.20792497,20.86790914,-21.02989312,-4.39979576
36,0.18854899,15.79991062,-20.01190375,-9.35772757
37,0.17364713,10.98051593,-18.09146785,-13.33458454
38,0.16546479,6.59102707,-15.63823278,-16.73655454
39,0.16165687,3.20565935,-12.48706548,-19.39221003
40,0.16181783,1.26086645,-9.96933356,-21.03244646
41,0.16176152,0.64928654,-8.35216472,-21.74357158
42,0.16063816,0.30825531,-6.69630099,-22.14751876
43,0.15874013,0.00131540,-4.63702935,-22.39123863
44,0.15458572,-0.46581135,-0.46487194,-22.25817693
45,0.15260051,-0.25295132,4.12909618,-21.58916560
46,0.15206670,1.19510423,8.40435735,-20.19329993
47,0.15479848,3.89904551,11.31521992,-18.81458594
48,0.16097083,7.38554643,13.22537486,-17.55594721
49,0.16830731,11.67465039,14.23732154,-15.77327426
50,0.17957571,16.13782204,14.87082466,-13.69548695
51,0.19309329,20.36211979,15.24510730,-11.25336312
52,0.20734079,24.16714297,14.99581869,-9.11729549
53,0.22112379,27.56942751,14.12105718,-7.42381644
54,0.23455663,30.49616074,13.36882781,-5.73256174
55,0.24753993,33.05951312,12.71866814,-4.09715834
56,0.25584872,34.68618307,12.09554068,-2.97280497
57,0.26108795,35.89900326,10.99709909,-2.18970250
58,0.26385408,36.86724658,9.07693701,-1.73642017
59,0.26835405,37.89952049,7.56297811,-0.84984811
60,0.27458651,39.01693428,6.48182715,0.41789637
61,0.28265630,40.16205714,6.49550161,1.62394002
62,0.28994764,41.15200822,6.63295689,2.63975164
63,0.29321494,41.67158641,6.11870203,3.16687354
64,0.29361686,41.80904332,5.47214241,3.30792760
65,0.29191323,41.64915572,4.85747418,3.15227861
66,0.29075927,41.55412535,4.26028561,3.05560091
67,0.29003390,41.51427948,3.67178818,2.92795191
68,0.28939811,41.50852499,3.09430381,2.30514680
69,0.29073860,41.75905267,2.76342492,1.58988019
70,0.29528152,42.42875785,2.84658189,0.96016039
71,0.29994443,43.09951749,2.94162768,0.77099527
72,0.30420629,43.70938470,2.98489486,0.90746435
73,0.30439297,43.73431182,2.99502961,0.96989583
74,0.30452885,43.76449300,2.82755637,0.99596229
75,0.30831245,44.34751175,2.18134604,0.98583876
76,0.31262627,45.01756455,1.15383553,0.31794535
77,0.31687417,45.63240459,-0.16778707,-1.07512148
78,0.31780206,45.73097728,-0.92543347,-1.88193962
79,0.31696993,45.58736315,-1.31050694,-2.19880081
80,0.31641751,45.53660353,-1.23988805,-1.54268664
81,0.31791761,45.76718201,-1.09101627,-1.19134815
82,0.32265748,46.43072234,-1.03250026,-1.83545747
83,0.32753641,47.10085912,-1.01143885,-2.56074318
84,0.33204154,47.71232749,-1.00584052,-3.20187788
85,0.33224637,47.74011526,-0.99601957,-3.23149782
86,0.33122570,47.60193114,-0.99396048,-3.09352345
87,0.33066794,47.52451872,-1.01803519,-3.03725783
88,0.32348016,46.48981037,-1.68207716,-2.67303101
89,0.30903278,44.36845535,-3.05414604,-1.94208696
90,0.29518135,42.42190693,-2.87931357,-0.29752181
91,0.28595257,41.12252298,-1.83651299,1.50881365
92,0.29859867,42.98204701,-0.48708024,1.55187452
93,0.31238796,44.98494390,0.87989275,0.70953524
94,0.31752278,45.68279877,2.12634852,-0.77404215
95,0.31292920,44.95678273,2.46900235,-2.17655700
96,0.30209985,43.32978834,2.13519407,-3.42241461
97,0.30073282,43.13371413,-2.03370095,-3.46256789
98,0.30505195,43.34901712,-6.45702338,-3.17868596
