local_sample,normalized_magnitude,x_nT,y_nT,z_nT
0,0.78914030,-101.59928523,-44.00807299,-11.03268573
1,0.94539550,-131.52994096,-19.69764517,-9.00665528
2,1.00000000,-140.33170738,13.51203501,2.36702767
3,0.93009083,-123.27880063,41.79739967,15.93405393
4,0.75695782,-101.01126306,27.55813131,20.70958118
5,0.67832602,-93.91769533,3.64329738,17.72111527
6,0.69334829,-95.81239714,5.46467250,18.64488509
7,0.70111954,-95.67484709,12.63340254,21.44010058
8,0.69820869,-91.59170406,23.39035613,27.49231400
9,0.67933394,-82.18908351,32.89242155,36.57996731
10,0.63766508,-67.08119111,38.75743504,45.62883089
11,0.58023577,-47.69641601,40.10446912,53.01081245
12,0.52789112,-27.87774555,36.69809272,58.44952292
13,0.47953835,-10.32267392,29.21763994,60.09647134
14,0.43881926,4.95923051,20.39828887,58.20377850
15,0.40805070,17.75505356,11.61580613,53.48039022
16,0.38241331,27.16599796,2.86102313,46.48917785
17,0.36113196,33.30180937,-5.36754049,38.14455375
18,0.33720890,35.60457753,-12.63562494,28.86761746
19,0.30129074,33.65459772,-18.00559445,18.65211998
20,0.25713909,28.80878839,-20.53046137,7.94397743
21,0.21479675,22.09199079,-20.62824266,-1.92084978
22,0.18168443,14.28023694,-18.83351911,-9.88106483
23,0.16416872,7.21473826,-15.16166066,-15.93412253
24,0.16140366,2.73572416,-10.95326214,-19.76028717
25,0.16208716,1.12670728,-8.02738640,-21.36854005
26,0.15878889,0.18433709,-3.98851041,-22.03042797
27,0.15383738,-0.01377507,2.83282203,-21.50538144
28,0.15371247,2.62373974,8.98578867,-19.54774407
29,0.16180519,7.91855164,12.47150497,-17.38577913
30,0.17718365,14.75603053,14.22121704,-14.28869434
31,0.19959056,21.43727974,14.88016830,-10.53648601
32,0.22299562,27.15989562,13.89587339,-7.60765740
33,0.24598033,31.83216977,12.91255738,-4.78696749
34,0.26059748,34.67504654,11.80301874,-2.91216061
35,0.26751542,36.60128072,8.91534938,-1.91011549
36,0.27777343,38.53933856,6.97933673,0.02784580
37,0.29160121,40.47572568,6.95279695,1.97355944
38,0.29800276,41.47459447,6.04809068,2.97293702
39,0.29747333,41.52611887,5.06935371,3.02904247
40,0.29654633,41.50407211,4.09149348,3.00265675
41,0.29560493,41.50773791,3.12837534,2.14068062
42,0.30111249,42.33630432,2.98083965,1.16278855
43,0.30795812,43.30760509,2.99655355,0.98292000
44,0.30946415,43.52002853,2.99739115,1.00173018
45,0.31436346,44.25757830,2.24382476,0.98796065
46,0.32081822,45.23004081,0.54773843,-0.44618244
47,0.32305033,45.51288207,-0.71536975,-1.70131794
48,0.32298415,45.50920347,-1.02094932,-1.35967292
49,0.32753788,46.14291225,-1.00797379,-1.63959418
50,0.33474846,47.11664173,-1.00313291,-2.61347769
51,0.33777817,47.52097471,-0.99502350,-3.01503749
52,0.33765528,47.50359562,-1.01014885,-3.01022036
53,0.32633825,45.90187750,-2.05510310,-2.46410032
54,0.30540388,42.98602141,-2.51178621,-0.48955979
55,0.30435092,42.88840955,-1.05743533,1.02386495
56,0.31877209,44.93750670,0.91792901,0.12405868
57,0.31749177,44.68260510,2.02444966,-1.84616417
58,0.30927623,43.49723308,-0.72574360,-3.02208847
59,0.31202000,43.48274827,-5.97585276,-3.01664263
