speed_kmh,full_samples,cropped_samples,duration_s,threshold_ratio,crop_start,crop_end,sample_spacing_m
20,148,148,2.94000000,0.1000,0,147,0.11111111
30,99,99,1.96000000,0.1000,0,98,0.16666667
40,75,75,1.48000000,0.1000,0,74,0.22222222
50,60,60,1.18000000,0.1000,0,59,0.27777778
