t_local_s,t_plot_s,dBx_nT,dBy_nT,dBz_nT,b_nT
0.000000000000000000e+00,1.074000000000000021e+01,2.579999999999999716e+01,1.699999999999999289e+00,4.200000000000000000e+01,4.932068531559551872e+01
2.000000000000001776e-02,1.075999999999999979e+01,2.679999999999999716e+01,-3.300000000000000711e+00,4.500000000000000000e+01,5.247980563988399894e+01
4.000000000000003553e-02,1.078000000000000114e+01,2.779999999999999716e+01,-8.300000000000000711e+00,4.900000000000000000e+01,5.694497343927731947e+01
5.999999999999994227e-02,1.080000000000000071e+01,2.779999999999999716e+01,-1.530000000000000071e+01,5.400000000000000000e+01,6.263329785345810308e+01
7.999999999999996003e-02,1.082000000000000028e+01,2.679999999999999716e+01,-2.430000000000000071e+01,5.700000000000000000e+01,6.751096207283673323e+01
9.999999999999997780e-02,1.083999999999999986e+01,2.479999999999999716e+01,-3.329999999999999716e+01,6.000000000000000000e+01,7.296526570910299370e+01
1.199999999999999956e-01,1.085999999999999943e+01,2.079999999999999716e+01,-4.429999999999999716e+01,6.300000000000000000e+01,7.977549749139768664e+01
1.400000000000000133e-01,1.088000000000000078e+01,1.779999999999999716e+01,-5.029999999999999716e+01,6.400000000000000000e+01,8.332424617120757659e+01
1.600000000000000311e-01,1.090000000000000036e+01,1.379999999999999716e+01,-5.629999999999999716e+01,6.600000000000000000e+01,8.784150499621462416e+01
1.800000000000000488e-01,1.091999999999999993e+01,2.799999999999997158e+00,-6.929999999999999716e+01,6.800000000000000000e+01,9.713047925342488043e+01
2.000000000000000666e-01,1.093999999999999950e+01,-1.320000000000000284e+01,-8.229999999999999716e+01,6.900000000000000000e+01,1.082059610187904468e+02
2.200000000000000844e-01,1.096000000000000085e+01,-3.420000000000000284e+01,-9.429999999999999716e+01,6.800000000000000000e+01,1.211863441151683531e+02
2.400000000000001021e-01,1.098000000000000043e+01,-5.720000000000000284e+01,-1.042999999999999972e+02,6.500000000000000000e+01,1.355556343351319413e+02
2.599999999999998979e-01,1.100000000000000000e+01,-8.020000000000000284e+01,-1.122999999999999972e+02,6.100000000000000000e+01,1.508785272992813873e+02
2.799999999999999156e-01,1.101999999999999957e+01,-1.042000000000000028e+02,-1.192999999999999972e+02,5.500000000000000000e+01,1.676756690757487434e+02
2.999999999999999334e-01,1.104000000000000092e+01,-1.281999999999999886e+02,-1.252999999999999972e+02,4.800000000000000000e+01,1.855783661960628592e+02
3.199999999999999512e-01,1.106000000000000050e+01,-1.521999999999999886e+02,-1.303000000000000114e+02,4.000000000000000000e+01,2.043108660840142363e+02
3.399999999999999689e-01,1.108000000000000007e+01,-1.761999999999999886e+02,-1.333000000000000114e+02,3.200000000000000000e+01,2.232472396245919981e+02
3.599999999999999867e-01,1.109999999999999964e+01,-1.981999999999999886e+02,-1.353000000000000114e+02,2.400000000000000000e+01,2.411748950450688938e+02
3.800000000000000044e-01,1.112000000000000099e+01,-2.181999999999999886e+02,-1.363000000000000114e+02,1.600000000000000000e+01,2.577691408993713935e+02
4.000000000000000222e-01,1.114000000000000057e+01,-2.381999999999999886e+02,-1.363000000000000114e+02,5.000000000000000000e+00,2.744848447546785906e+02
