t_local_s,t_plot_s,dBx_nT,dBy_nT,dBz_nT,b_nT
0.000000000000000000e+00,2.380000000000000338e+00,-1.999999999999992895e-01,6.799999999999999822e+00,6.299999999999999822e+00,9.272000862812729949e+00
2.000000000000001776e-02,2.400000000000000355e+00,-1.999999999999992895e-01,4.799999999999999822e+00,6.299999999999999822e+00,7.922752047110902751e+00
4.000000000000003553e-02,2.420000000000000373e+00,1.800000000000000711e+00,4.799999999999999822e+00,6.299999999999999822e+00,8.122191822408529660e+00
6.000000000000005329e-02,2.440000000000000391e+00,6.800000000000000711e+00,6.799999999999999822e+00,1.030000000000000071e+01,1.409148679167673990e+01
8.000000000000007105e-02,2.460000000000000409e+00,6.800000000000000711e+00,9.800000000000000711e+00,8.300000000000000711e+00,1.453168950948237281e+01
1.000000000000000888e-01,2.480000000000000426e+00,1.180000000000000071e+01,1.180000000000000071e+01,8.300000000000000711e+00,1.863786468456083512e+01
1.199999999999999956e-01,2.500000000000000444e+00,1.680000000000000071e+01,1.380000000000000071e+01,1.230000000000000071e+01,2.497939150579933454e+01
1.400000000000000133e-01,2.520000000000000462e+00,1.180000000000000071e+01,1.180000000000000071e+01,1.030000000000000071e+01,1.961045639448506250e+01
1.600000000000000311e-01,2.540000000000000480e+00,7.800000000000000711e+00,9.800000000000000711e+00,9.300000000000000711e+00,1.560032050952800198e+01
1.800000000000000488e-01,2.560000000000000497e+00,9.800000000000000711e+00,9.800000000000000711e+00,1.030000000000000071e+01,1.726759971738979260e+01
2.000000000000000666e-01,2.580000000000000515e+00,1.280000000000000071e+01,1.080000000000000071e+01,1.130000000000000071e+01,2.020321756552653625e+01
2.200000000000000844e-01,2.600000000000000533e+00,1.680000000000000071e+01,1.180000000000000071e+01,1.330000000000000071e+01,2.446160256401857325e+01
2.399999999999999911e-01,2.620000000000000107e+00,2.080000000000000071e+01,1.180000000000000071e+01,1.530000000000000071e+01,2.838961077577500092e+01
2.600000000000000089e-01,2.640000000000000568e+00,2.480000000000000071e+01,1.080000000000000071e+01,1.830000000000000071e+01,3.265838330352561059e+01
2.800000000000000266e-01,2.660000000000000142e+00,2.980000000000000071e+01,7.799999999999999822e+00,2.230000000000000071e+01,3.802854191262137107e+01
3.000000000000000444e-01,2.680000000000000604e+00,3.479999999999999716e+01,3.799999999999999822e+00,2.630000000000000071e+01,4.378549988295211648e+01
3.200000000000000622e-01,2.700000000000000178e+00,4.779999999999999716e+01,-2.219999999999999929e+01,3.829999999999999716e+01,6.515036454234159180e+01
3.400000000000000799e-01,2.720000000000000639e+00,5.279999999999999716e+01,-6.120000000000000284e+01,5.629999999999999716e+01,9.850365475453182285e+01
3.600000000000000977e-01,2.740000000000000213e+00,3.479999999999999716e+01,-8.620000000000000284e+01,5.829999999999999716e+01,1.097286197853595553e+02
3.800000000000001155e-01,2.760000000000000675e+00,5.800000000000000711e+00,-1.062000000000000028e+02,5.029999999999999716e+01,1.176527517740235425e+02
4.000000000000001332e-01,2.780000000000000249e+00,-3.320000000000000284e+01,-1.192000000000000028e+02,4.029999999999999716e+01,1.301344304940087682e+02
4.200000000000001510e-01,2.800000000000000711e+00,-5.520000000000000284e+01,-1.222000000000000028e+02,3.229999999999999716e+01,1.379245083369884810e+02
4.399999999999999467e-01,2.820000000000000284e+00,-7.020000000000000284e+01,-1.122000000000000028e+02,2.230000000000000071e+01,1.342168767331441188e+02
4.599999999999999645e-01,2.840000000000000302e+00,-1.062000000000000028e+02,-9.420000000000000284e+01,8.300000000000000711e+00,1.422004571019376158e+02
4.799999999999999822e-01,2.860000000000000320e+00,-8.220000000000000284e+01,-8.720000000000000284e+01,1.830000000000000071e+01,1.212252861411347595e+02
5.000000000000000000e-01,2.880000000000000338e+00,-5.020000000000000284e+01,-8.720000000000000284e+01,2.830000000000000071e+01,1.045216245568351354e+02
5.200000000000000178e-01,2.900000000000000355e+00,-7.720000000000000284e+01,-8.220000000000000284e+01,1.830000000000000071e+01,1.142434680846130419e+02
5.400000000000000355e-01,2.920000000000000373e+00,-1.022000000000000028e+02,-7.120000000000000284e+01,6.299999999999999822e+00,1.247155563672792198e+02
5.600000000000000533e-01,2.940000000000000391e+00,-1.222000000000000028e+02,-5.520000000000000284e+01,-4.700000000000000178e+00,1.341714202056458873e+02
5.800000000000000711e-01,2.960000000000000409e+00,-1.361999999999999886e+02,-3.620000000000000284e+01,-1.369999999999999929e+01,1.415929729894813534e+02
6.000000000000000888e-01,2.980000000000000426e+00,-1.431999999999999886e+02,-1.619999999999999929e+01,-1.969999999999999929e+01,1.454536695996357309e+02
