speed_kmh,full_samples,cropped_samples,crop_start,crop_end,sample_spacing_m,peak_abs_x,peak_abs_y,peak_abs_z
20,274,225,49,273,0.11111111,234.67445063,45.38155540,66.42184472
40,138,117,21,137,0.22222222,193.44720751,34.70315596,46.06278185
60,92,81,11,91,0.33333333,160.53592777,56.21864788,54.61801321
