speed_kmh,full_samples,cropped_samples,crop_start,crop_end,sample_spacing_m,peak_abs_x,peak_abs_y,peak_abs_z
20,274,225,49,273,0.11111111,234.67445063,45.38155540,66.42184472
30,183,153,30,182,0.16666667,198.07876438,21.19387711,50.87277161
40,138,118,20,137,0.22222222,166.42176101,20.81853897,40.31790009
50,110,96,14,109,0.27777778,140.00880635,14.54871962,33.75988617
