speed_kmh,full_samples,cropped_samples,duration_s,threshold_ratio,crop_start,crop_end,sample_spacing_m
20,132,132,2.62000000,0.1000,0,131,0.11111111
30,88,88,1.74000000,0.1000,0,87,0.16666667
40,67,67,1.32000000,0.1000,0,66,0.22222222
50,54,54,1.06000000,0.1000,0,53,0.27777778
