x_m,Bx_latent,By_latent,Bz_latent,Bx_reproj,By_reproj,Bz_reproj,Bx_obs,By_obs,Bz_obs
-6.00107632,-46.53602778,-52.00016662,3.99403681,-46.53602778,-52.00016662,3.99403681,-46.50000000,-52.00000000,4.00000000
-5.64843232,-84.35666640,-42.51930014,-2.31689186,-70.44323100,-46.00711600,0.00476905,-70.50000000,-46.00000000,0.00000000
-5.29578832,-103.79535323,-31.74193382,-4.74655733,-91.52579314,-36.98980107,-2.99864204,-91.50000000,-37.00000000,-3.00000000
-4.94314432,-116.79063639,-16.43011208,-2.99102944,-107.49621998,-23.99359897,-2.99382996,-107.50000000,-24.00000000,-3.00000000
-4.59050032,-120.15557861,-0.29575176,1.72400139,-115.49846083,-9.01370255,-0.01159177,-115.50000000,-9.00000000,0.00000000
-4.23785632,-113.90779973,11.58215779,6.34826833,-114.49297125,4.00536420,4.00860655,-114.50000000,4.00000000,4.00000000
-3.88521232,-100.28066617,21.40730819,13.47366256,-105.50908102,15.00549076,9.99166305,-105.50000000,15.00000000,10.00000000
-3.53256832,-84.88584407,27.63493189,21.11111787,-92.47270896,22.98882014,17.02049904,-92.50000000,23.00000000,17.00000000
-3.17992432,-70.44079302,27.74809637,29.60771574,-78.54588194,25.99725649,24.97713750,-78.50000000,26.00000000,25.00000000
-2.82728032,-67.39945699,26.02192473,31.33560888,-71.49999757,26.01284979,28.99645798,-71.50000000,26.00000000,29.00000000
-2.47463632,-60.35202302,25.98411708,32.21198046,-64.45313367,25.99468725,31.02905585,-64.50000000,26.00000000,31.00000000
-2.12199232,-42.42180600,24.41654394,35.68900319,-50.52667851,24.99711042,33.97470437,-50.50000000,25.00000000,34.00000000
-1.76934832,-29.92339248,21.84357028,32.43207398,-37.50291783,23.00369286,32.99957598,-37.50000000,23.00000000,33.00000000
-1.41670432,-21.68221313,19.83392112,28.27466898,-27.50232513,21.00001498,30.01286513,-27.50000000,21.00000000,30.00000000
-1.06406032,-14.82444269,17.83007937,26.81635639,-19.48837500,18.99623351,27.99228624,-19.50000000,19.00000000,28.00000000
-0.71141632,-6.87085509,15.84018487,24.85573244,-11.51258126,17.00123028,26.00960610,-11.50000000,17.00000000,26.00000000
-0.35877232,-0.41008917,15.43572431,22.81035447,-4.49446776,16.01164177,23.98729337,-4.50000000,16.00000000,24.00000000
-0.00612832,8.16836201,15.96590599,17.68072268,3.50996727,15.98273124,20.00078038,3.50000000,16.00000000,20.00000000
0.34651568,17.70787747,12.85312793,13.68479611,12.48475820,14.00444465,16.00831688,12.50000000,14.00000000,16.00000000
0.69915968,23.59939229,10.84945490,12.82604849,19.51054691,12.01011076,13.99673961,19.50000000,12.00000000,14.00000000
1.05180368,28.97571049,10.39502028,12.42927390,25.49367140,10.98917886,13.00591231,25.50000000,11.00000000,13.00000000
1.40444768,31.82450927,7.84606597,11.39203438,29.49552417,9.00235258,11.98574689,29.50000000,9.00000000,12.00000000
1.75709168,34.27012426,5.83080402,7.28484245,32.51364704,6.99755154,9.01420855,32.50000000,7.00000000,9.00000000
2.10973568,38.80717801,5.43266808,4.22993204,36.49191735,6.00835653,5.98996901,36.50000000,6.00000000,6.00000000
2.46237968,41.24610074,7.57834996,-0.33189828,39.49713442,7.00078165,1.99378673,39.50000000,7.00000000,2.00000000
2.81502368,42.67727214,8.56132124,-2.70758110,41.50736485,7.98723081,-0.97804453,41.50000000,8.00000000,-1.00000000
3.16766768,44.65519703,6.43952847,0.55531249,43.49717429,7.00889634,-0.00877803,43.50000000,7.00000000,0.00000000
3.52031168,45.07212147,5.41036064,1.57893540,44.49273078,5.99842906,0.99484827,44.50000000,6.00000000,1.00000000
3.87295568,44.52012526,4.41887533,-0.58775476,44.51004739,4.99996068,-0.00554764,44.50000000,5.00000000,0.00000000
4.22559968,46.07482975,3.41923317,-3.14992710,45.49917849,4.00075032,-1.99317454,45.50000000,4.00000000,-2.00000000
4.57824368,47.07225370,2.40930724,-1.98253427,46.49355167,2.99476643,-1.98644861,46.50000000,3.00000000,-2.00000000
4.93088768,46.51080852,1.43822446,1.12296665,46.50446008,2.01084425,-0.02092330,46.50000000,2.00000000,0.00000000
5.28353168,46.49616788,1.98370172,0.02045564,46.49921841,1.99368690,0.00523318,46.50000000,2.00000000,0.00000000
5.63617568,46.50036635,0.41401905,0.01172517,46.49994405,0.99514637,0.00933690,46.50000000,1.00000000,0.00000000
5.98881968,46.50013398,-2.15795800,1.56509383,46.50006411,-0.99799573,0.99276284,46.50000000,-1.00000000,1.00000000
6.34146368,46.50111052,-2.56993617,1.00221622,46.50072557,-1.99165160,0.99873852,46.50000000,-2.00000000,1.00000000
6.69410768,46.49137400,-0.42860034,-0.58362683,46.49481425,-1.00361476,-0.00150715,46.50000000,-1.00000000,0.00000000
7.04675168,46.52141825,0.57640592,-1.56401144,46.51163119,-0.00485120,-0.98919823,46.50000000,0.00000000,-1.00000000
7.39939568,48.05812701,0.00171393,-1.02342947,47.48920299,-0.00070125,-1.01083650,47.50000000,0.00000000,-1.00000000
7.75203968,47.50794943,0.01706504,-2.57399179,47.50105300,0.01052919,-1.99893910,47.50000000,0.00000000,-2.00000000
8.10468368,47.50730662,1.55963561,-3.57467527,47.50500604,0.98975120,-2.99499433,47.50000000,1.00000000,-3.00000000
8.45732768,49.07513796,1.01119762,-3.00683864,48.49751871,1.00330793,-3.00248136,48.50000000,1.00000000,-3.00000000
