method,test_acc,test_f1
端侧 Softmax（部署）,0.8829268292682927,0.8667061832557689
端侧 SVM（对照）,0.8439024390243902,0.8178163672296991
离线 CNN（线性定长）,0.8682926829268293,0.8635746606334842
DTW-MultiTemplate(K=4) + CNN（本文方法）,0.9512195121951219,0.951839962417789
