K,in_ch,build_s,train_s,val_acc,val_f1,test_acc,test_f1
1,12,0.667637825012207,58.55212903022766,0.9414634146341463,0.9429367375365447,0.926829268292683,0.9295369691962337
2,24,0.45614099502563477,26.048187732696533,0.8926829268292683,0.8890261270806462,0.8682926829268293,0.8618321803485944
3,36,0.658560037612915,53.589375734329224,0.9365853658536586,0.9364938757117693,0.9121951219512195,0.9065889029003783
4,48,0.8739821910858154,63.61766958236694,0.9658536585365853,0.9646496642062052,0.9512195121951219,0.951839962417789
5,60,1.1047947406768799,76.56618475914001,0.9463414634146341,0.9470741347729682,0.9414634146341463,0.9321428571428573
6,72,1.319390058517456,58.460052728652954,0.9560975609756097,0.9582455634944496,0.9219512195121952,0.9176432469428395
