epoch,train_loss,val_loss,val_acc,val_macro_f1
1,1.053159190022297,0.9895297884941101,0.6731707317073171,0.5973034869976359
2,0.9328854428175603,0.7856325507164001,0.7317073170731707,0.6849600296988827
3,0.7557827820338964,0.5800532102584839,0.7609756097560976,0.7265479975429147
4,0.6501933750248354,0.530259907245636,0.7853658536585366,0.7638675754177972
5,0.6245843324202374,0.4659561514854431,0.7853658536585366,0.7650456098731961
6,0.5904229425486162,0.46157220005989075,0.7951219512195122,0.7727873688393668
7,0.581067903520672,0.44266730546951294,0.8,0.7830972230715396
8,0.5741047587354812,0.4427567720413208,0.7951219512195122,0.7658371040723981
9,0.5546090722582829,0.42849001288414,0.8097560975609757,0.7867759316412765
10,0.5425184915255303,0.40820997953414917,0.8292682926829268,0.814684992812582
11,0.5395365549430687,0.4020138680934906,0.8390243902439024,0.8280294231513744
12,0.5232099721122486,0.3941502571105957,0.8390243902439024,0.8213162399168753
13,0.503281815281473,0.3835597634315491,0.8292682926829268,0.8102784141279367
14,0.5029774456592784,0.3612906038761139,0.8536585365853658,0.840193863182369
15,0.49896793011342133,0.3555815815925598,0.8439024390243902,0.8286935286935287
16,0.4742026858998143,0.35333895683288574,0.848780487804878,0.832867227895663
17,0.4772300410968988,0.34246647357940674,0.8634146341463415,0.8511852926947266
18,0.465935602472417,0.35970741510391235,0.8731707317073171,0.8595394354000351
19,0.4573783788471541,0.33865922689437866,0.8634146341463415,0.8520625889046943
20,0.4770558581192623,0.3345881700515747,0.8634146341463415,0.8520625889046943
21,0.45674603441769107,0.3438361585140228,0.8585365853658536,0.8395648114318192
22,0.4425233812012932,0.3242715001106262,0.8780487804878049,0.8584114561292582
23,0.44864287174396433,0.31503474712371826,0.8926829268292683,0.8794002842084435
24,0.43891113460313325,0.31153804063796997,0.8878048780487805,0.8723386388793465
25,0.4299638833710339,0.3094235956668854,0.8878048780487805,0.8724619798563461
26,0.4250004529703611,0.3082711398601532,0.8682926829268293,0.8506342703003867
27,0.4359484833653502,0.2996024489402771,0.8829268292682927,0.8654455997708821
28,0.4086249511860405,0.3028990626335144,0.8731707317073171,0.85289363972259
29,0.42382555327156096,0.304923951625824,0.8926829268292683,0.8803925466189471
30,0.4184690041771494,0.30101078748703003,0.8829268292682927,0.8726059392726059
31,0.408158227738975,0.29913222789764404,0.8682926829268293,0.8500508540669184
32,0.40893833919050304,0.31046929955482483,0.8829268292682927,0.8703129307968017
33,0.4052671206546129,0.31793826818466187,0.8731707317073171,0.8537449971412236
34,0.4011006700693314,0.2881441116333008,0.8878048780487805,0.8773472684677758
35,0.38816254532985606,0.3103414475917816,0.8878048780487805,0.8721667536337984
36,0.38765572641185136,0.2779911458492279,0.8829268292682927,0.8721550905458951
37,0.3684492505245129,0.2786773145198822,0.8829268292682927,0.8726059392726059
38,0.3793760364773882,0.2783702313899994,0.8926829268292683,0.8842942630881141
39,0.3701193742921662,0.27721789479255676,0.8926829268292683,0.8839899302630109
40,0.37084301932087504,0.28074005246162415,0.8780487804878049,0.8623474668580808
41,0.3641668551885932,0.27479055523872375,0.8878048780487805,0.8773472684677758
42,0.3821511400793387,0.29288434982299805,0.8682926829268293,0.8514346891316747
43,0.38125640877121164,0.27315089106559753,0.8878048780487805,0.8797717605560743
44,0.3681904158582248,0.2751379907131195,0.8829268292682927,0.8741750251496443
45,0.36094395760212983,0.27423393726348877,0.8926829268292683,0.8842942630881141
46,0.3639158610270113,0.29334405064582825,0.8829268292682927,0.8741750251496443
47,0.3532480070032335,0.2735901176929474,0.8926829268292683,0.8819943160080888
48,0.34011994981865507,0.27750447392463684,0.8878048780487805,0.8773472684677758
49,0.35520786869974813,0.28616705536842346,0.8926829268292683,0.8855666571745759
50,0.3618058845338462,0.2978546619415283,0.8780487804878049,0.8629379904940864
51,0.35039361114282486,0.26764923334121704,0.8878048780487805,0.8763772531736431
52,0.3456491741924605,0.2683110535144806,0.8878048780487805,0.8789339481661758
53,0.33787063811613427,0.26849454641342163,0.8926829268292683,0.8880906305434607
54,0.3256883378058797,0.27250853180885315,0.8731707317073171,0.856007614313331
55,0.34563698042885527,0.26877209544181824,0.8975609756097561,0.892811052225098
56,0.32314444610763293,0.26354140043258667,0.8975609756097561,0.8924797881237803
57,0.3286367395432923,0.2551266551017761,0.8829268292682927,0.8702058046864999
58,0.3262720125489654,0.2685810327529907,0.8975609756097561,0.8912741005764261
59,0.34973569968754276,0.2747764587402344,0.8829268292682927,0.8742906022273034
60,0.3422861025672577,0.2724267542362213,0.8829268292682927,0.8750750750750752
61,0.3342917954323182,0.2603963017463684,0.8878048780487805,0.8773388297263254
62,0.3184068372558849,0.2522501051425934,0.8926829268292683,0.8860524214781974
63,0.31864201187089897,0.2533239424228668,0.8926829268292683,0.8884176882044269
64,0.32574757621876865,0.26517802476882935,0.8878048780487805,0.8782559268052275
65,0.3166754836816668,0.24621127545833588,0.8975609756097561,0.8924797881237803
66,0.31564057060365397,0.2535803020000458,0.8926829268292683,0.8851116801821027
67,0.31400950970011277,0.25283724069595337,0.9024390243902439,0.8996507155664873
68,0.310464330921612,0.24506522715091705,0.8926829268292683,0.8845008464295065
69,0.31873608707882867,0.2710131108760834,0.8926829268292683,0.8842942630881141
70,0.3122372239454022,0.24625524878501892,0.8926829268292683,0.8835502735332956
71,0.30245495353782526,0.2525266110897064,0.8975609756097561,0.8909062785325412
72,0.29420711654998266,0.24662388861179352,0.8926829268292683,0.8845008464295065
73,0.29269776415375987,0.2430240958929062,0.8926829268292683,0.8858909976150283
74,0.31317461135497154,0.23670397698879242,0.9073170731707317,0.9043391335681324
75,0.30482838355846487,0.25294527411460876,0.8975609756097561,0.8920612665434536
76,0.2989320332285749,0.23824907839298248,0.8878048780487805,0.8782559268052275
77,0.29483324501304947,0.24027134478092194,0.9024390243902439,0.8967908401870667
78,0.2938332199800962,0.25644686818122864,0.9121951219512195,0.9070237768957735
79,0.2978816664617929,0.251796156167984,0.8878048780487805,0.8780772207552988
80,0.28386302136477065,0.23398791253566742,0.9024390243902439,0.8989316000414992
81,0.2992561863556068,0.22755171358585358,0.9121951219512195,0.9083658287839702
82,0.30093490466413136,0.2268633246421814,0.8926829268292683,0.8827904124679159
83,0.29796754534523856,0.23235198855400085,0.9073170731707317,0.9036690864547395
84,0.29657492640128197,0.23077945411205292,0.9024390243902439,0.8967908401870667
85,0.28333946420308437,0.25191688537597656,0.9024390243902439,0.9019887833447156
86,0.29491757935061114,0.24918393790721893,0.8878048780487805,0.884915113413188
87,0.28570873904427724,0.2338903546333313,0.8975609756097561,0.892811052225098
88,0.2834980309508336,0.24463017284870148,0.8975609756097561,0.8963513588397812
89,0.273077139919273,0.2280624508857727,0.9073170731707317,0.9036690864547395
90,0.26703768663077176,0.2421649843454361,0.8975609756097561,0.8920840138040461
91,0.28960685325965724,0.24891497194766998,0.8878048780487805,0.88701283568966
92,0.29085548589917903,0.23398898541927338,0.8975609756097561,0.892811052225098
93,0.27901941575265826,0.22623366117477417,0.9170731707317074,0.915177160911758
94,0.2815798646984739,0.2566092610359192,0.8878048780487805,0.8769312181634458
95,0.2972745557459827,0.22244945168495178,0.8926829268292683,0.8827904124679159
96,0.29248164912148,0.2237509936094284,0.9024390243902439,0.8967908401870667
97,0.28190058931147205,0.23421068489551544,0.8975609756097561,0.8920840138040461
98,0.2732995976713412,0.2352641224861145,0.9024390243902439,0.9030474989491383
99,0.2637879736253906,0.23294556140899658,0.9073170731707317,0.9036690864547395
100,0.26423903526621384,0.23371833562850952,0.9024390243902439,0.9023809523809524
101,0.26286632707927016,0.23164960741996765,0.8878048780487805,0.8856504397373962
102,0.25918134573114465,0.25469034910202026,0.8975609756097561,0.8984936357546177
103,0.27406976537225636,0.22951209545135498,0.9073170731707317,0.9028346363303913
104,0.27155802377098276,0.2245945781469345,0.8975609756097561,0.892811052225098
105,0.25171640951763136,0.2292885035276413,0.9024390243902439,0.8967908401870667
106,0.24857131394881085,0.2313753068447113,0.8975609756097561,0.89162422850863
107,0.27745294720557945,0.23583418130874634,0.8878048780487805,0.884915113413188
108,0.27223334738898974,0.21596115827560425,0.9073170731707317,0.9014802517603036
109,0.2578916294679482,0.2286304235458374,0.9024390243902439,0.900334699867252
110,0.2548972248532283,0.2186644971370697,0.9024390243902439,0.8992300107070593
111,0.267302519419702,0.2414165586233139,0.8975609756097561,0.8990475629393974
112,0.24645150144229874,0.2191789597272873,0.9024390243902439,0.8967908401870667
113,0.24855597884585168,0.22748738527297974,0.9073170731707317,0.9036690864547395
114,0.2573931809499174,0.21561524271965027,0.9024390243902439,0.8967908401870667
115,0.24963635062822237,0.2161565124988556,0.9073170731707317,0.9064153623534722
116,0.2519959439543002,0.2274405062198639,0.8926829268292683,0.8858909976150283
117,0.2595716612608363,0.21413235366344452,0.9024390243902439,0.9023809523809524
118,0.2464864393033742,0.21943345665931702,0.9024390243902439,0.8996507155664873
119,0.24267399585396676,0.22044812142848969,0.8975609756097561,0.889833151411196
120,0.24961741493087433,0.21412523090839386,0.9121951219512195,0.9104732970898626
121,0.24144230390193572,0.223613440990448,0.8975609756097561,0.8983688560243585
122,0.25343803768377426,0.21254423260688782,0.8975609756097561,0.892811052225098
123,0.24327495550760164,0.22442206740379333,0.9073170731707317,0.9059121008028649
124,0.25047961775229066,0.21588145196437836,0.9073170731707317,0.9064153623534722
125,0.2399188177854945,0.22151368856430054,0.8926829268292683,0.8858909976150283
126,0.23938830776693432,0.22139786183834076,0.8975609756097561,0.89593160300231
127,0.23504825653391404,0.22207382321357727,0.9024390243902439,0.9025432562017928
128,0.2418874071981119,0.22098557651042938,0.8975609756097561,0.8983688560243585
129,0.23725375813669738,0.2160843461751938,0.9073170731707317,0.9036690864547395
130,0.22476589255751925,0.20864911377429962,0.9024390243902439,0.9030474989491383
131,0.2313921728393523,0.23256902396678925,0.8975609756097561,0.895203513504167
132,0.21867705283055244,0.2221083790063858,0.8926829268292683,0.894377889869693
133,0.23247085848363375,0.21277444064617157,0.9073170731707317,0.9059121008028649
134,0.23250881261406584,0.2041439712047577,0.9073170731707317,0.9064153623534722
135,0.2453856539277352,0.20396077632904053,0.9121951219512195,0.9131101808960808
136,0.23688409430711338,0.23924888670444489,0.9121951219512195,0.9121302182782675
137,0.236256463632424,0.21004605293273926,0.9170731707317074,0.9172086939382537
138,0.22862072494738273,0.22275061905384064,0.8926829268292683,0.8851116801821027
139,0.233666076819767,0.20388014614582062,0.9170731707317074,0.9172086939382537
140,0.22598841642984285,0.20647947490215302,0.8975609756097561,0.892811052225098
141,0.22553206450270807,0.20601266622543335,0.9024390243902439,0.8996507155664873
142,0.23507161687856937,0.22807464003562927,0.8975609756097561,0.8912741005764261
143,0.21664663709731283,0.21016445755958557,0.9024390243902439,0.8967908401870667
144,0.23163920859163276,0.21153250336647034,0.9024390243902439,0.8992300107070593
145,0.23129725194376383,0.21360164880752563,0.9024390243902439,0.8987517318825885
146,0.21761919813674863,0.22295187413692474,0.9121951219512195,0.915903699097107
147,0.2225100717285188,0.2070217728614807,0.9121951219512195,0.912292514876292
148,0.21578236977924362,0.20284463465213776,0.9073170731707317,0.9064153623534722
149,0.2173113127757316,0.21755896508693695,0.8926829268292683,0.8842753250647988
150,0.21929063775798766,0.2067129909992218,0.9073170731707317,0.9064153623534722
151,0.21177459760689835,0.217029869556427,0.9024390243902439,0.8989316000414992
152,0.21858418112519395,0.20569133758544922,0.9073170731707317,0.9036690864547395
153,0.2109253241302578,0.20129500329494476,0.9121951219512195,0.9111111111111111
154,0.21492245537715976,0.25168344378471375,0.9170731707317074,0.9212382808874037
155,0.2164246719876094,0.1965496689081192,0.9170731707317074,0.9172086939382537
156,0.20690135869770368,0.21140971779823303,0.8975609756097561,0.892811052225098
157,0.21516573291942165,0.20562170445919037,0.9073170731707317,0.9070682905611136
158,0.20742740117356367,0.20903800427913666,0.9170731707317074,0.9168617886178861
159,0.20936923346260103,0.2233598679304123,0.8926829268292683,0.8842753250647988
160,0.2207254575386207,0.2082739621400833,0.9024390243902439,0.8989316000414992
161,0.21303098358868555,0.1949147880077362,0.9121951219512195,0.9104732970898626
162,0.19317154361862518,0.19666138291358948,0.9024390243902439,0.8996507155664873
163,0.2070647532969838,0.21264563500881195,0.8878048780487805,0.8788849749310663
164,0.20664160096994505,0.20566821098327637,0.9024390243902439,0.8967908401870667
165,0.21065247383077773,0.18679240345954895,0.9121951219512195,0.9111111111111111
166,0.20675930941952822,0.21026788651943207,0.9024390243902439,0.9023809523809524
167,0.20297697488857613,0.1983710080385208,0.9121951219512195,0.9128384687208216
168,0.20237357540360057,0.2002379298210144,0.9024390243902439,0.8967908401870667
169,0.20101043295161994,0.19009703397750854,0.9170731707317074,0.9157677250978686
170,0.19582197718540495,0.19509238004684448,0.9073170731707317,0.9064153623534722
171,0.21145830250434797,0.19588132202625275,0.9073170731707317,0.9070682905611136
172,0.19814859399236895,0.19849704205989838,0.9121951219512195,0.9111111111111111
173,0.18638042569409854,0.1879519373178482,0.9219512195121952,0.9224762242306102
174,0.19895562236528516,0.19462493062019348,0.9073170731707317,0.9064153623534722
175,0.19507503041911822,0.21518918871879578,0.8926829268292683,0.8858909976150283
176,0.20297905871309496,0.1853419989347458,0.9121951219512195,0.9131101808960808
177,0.18812227448658964,0.20371180772781372,0.9024390243902439,0.8960549456351771
178,0.1988646790821682,0.199372336268425,0.8926829268292683,0.8858909976150283
179,0.2063458649807894,0.22091859579086304,0.926829268292683,0.9296521727599422
180,0.19942459626177864,0.19710959494113922,0.9170731707317074,0.9168617886178861
181,0.18910266315587893,0.19598105549812317,0.9121951219512195,0.9111111111111111
182,0.1849000806214919,0.183002308011055,0.9170731707317074,0.9157677250978686
183,0.18787982953891594,0.1789179891347885,0.9170731707317074,0.9157677250978686
184,0.1966432609817473,0.18853604793548584,0.9121951219512195,0.9131101808960808
185,0.17466879433418417,0.1917652040719986,0.8975609756097561,0.8905641783690564
186,0.1878485511286987,0.18624116480350494,0.9219512195121952,0.9209051049170061
187,0.18173109599735945,0.19800344109535217,0.9317073170731708,0.9325548865778751
188,0.1903982427142654,0.17961040139198303,0.9219512195121952,0.9224762242306102
189,0.18870238055743932,0.1868084818124771,0.9121951219512195,0.9131101808960808
190,0.17529986717710935,0.17568619549274445,0.926829268292683,0.9271012377072982
191,0.1914139534015536,0.19657225906848907,0.9121951219512195,0.9104732970898626
192,0.19290605960530716,0.21452577412128448,0.9170731707317074,0.9073803912766992
193,0.19786507976105025,0.18554265797138214,0.9121951219512195,0.9098023418197444
194,0.18020536198775639,0.20046956837177277,0.8975609756097561,0.8890665867026505
195,0.17898336230586265,0.19267554581165314,0.9024390243902439,0.8989316000414992
196,0.17936653890120932,0.1818675398826599,0.9219512195121952,0.9230044965374021
197,0.18246178123242685,0.18485994637012482,0.9073170731707317,0.9007933978936465
198,0.18970707457933467,0.20809897780418396,0.8926829268292683,0.8851116801821027
199,0.1736042013228189,0.17587031424045563,0.926829268292683,0.9275864387554339
200,0.16864454914585816,0.18778946995735168,0.9317073170731708,0.9329538649345862
201,0.17626347925872485,0.1891857236623764,0.9219512195121952,0.9196351898411222
202,0.18550474711043066,0.18369163572788239,0.9219512195121952,0.9235053569173685
203,0.1769743408368721,0.17531977593898773,0.9219512195121952,0.9198412698412698
204,0.1768485294600411,0.18962296843528748,0.9121951219512195,0.9098023418197444
205,0.17615301994349666,0.1890641301870346,0.9024390243902439,0.8960549456351771
206,0.16901810330077693,0.17633028328418732,0.9121951219512195,0.9061310274425027
207,0.1744033604486218,0.20164422690868378,0.9365853658536586,0.9373959230548378
208,0.1799751073745504,0.17010317742824554,0.9414634146341463,0.9407621101300618
209,0.18788310954012133,0.18480010330677032,0.9170731707317074,0.9136017236511216
210,0.18419043582603023,0.18912118673324585,0.9317073170731708,0.9297655595151776
211,0.17558023408367046,0.18869344890117645,0.9365853658536586,0.9344342733020442
212,0.17711264125722223,0.17774687707424164,0.9170731707317074,0.9118533729250072
213,0.17023287252152813,0.17630034685134888,0.926829268292683,0.9271012377072982
214,0.1706878256722973,0.17929516732692719,0.9073170731707317,0.9057281007985233
215,0.18125023711550683,0.18618802726268768,0.9121951219512195,0.9043645565384696
216,0.16256198530167215,0.17550422251224518,0.926829268292683,0.9265898952173462
217,0.17780064442292418,0.16762109100818634,0.926829268292683,0.9275864387554339
218,0.19146428902528276,0.19921457767486572,0.9024390243902439,0.8960549456351771
219,0.19972704201313243,0.22676795721054077,0.8780487804878049,0.8628286175854886
220,0.1729921337887333,0.1832156926393509,0.9024390243902439,0.895199876524155
221,0.16019768227343778,0.16711296141147614,0.926829268292683,0.9265898952173462
222,0.17170861656446337,0.1762998104095459,0.9170731707317074,0.9165721050862592
223,0.16896494761670483,0.1706603467464447,0.926829268292683,0.9249695612898158
224,0.15228615620146238,0.1711934357881546,0.926829268292683,0.9260513537243097
225,0.16448533351077196,0.1974221020936966,0.8975609756097561,0.8867167530824113
226,0.16677882263600577,0.17023006081581116,0.9317073170731708,0.9312215724496425
227,0.17535788350773657,0.1721687614917755,0.9219512195121952,0.9209051049170061
