class,base_p,base_r,base_f1,dtw_p,dtw_r,dtw_f1
小型车,0.9333333333333333,0.9514563106796117,0.9423076923076923,0.9803921568627451,0.970873786407767,0.975609756097561
中型车,0.8387096774193549,0.8524590163934426,0.8455284552845529,0.9076923076923077,0.9672131147540983,0.9365079365079365
大型车,0.9473684210526315,0.8780487804878049,0.9113924050632911,1.0,0.926829268292683,0.9620253164556962
