group,TP,FP,FN,P,R,F1,Rf,Rm
A,11,0,1,1,0.916666666666667,0.956521739130435,0,0.0833333333333333
B,28,1,3,0.96551724137931,0.903225806451613,0.933333333333333,0.032258064516129,0.0967741935483871
C,25,6,6,0.806451612903226,0.806451612903226,0.806451612903226,0.193548387096774,0.193548387096774
D,31,1,3,0.96875,0.911764705882353,0.939393939393939,0.0294117647058824,0.0882352941176471
ALL,95,8,13,0.922330097087379,0.87962962962963,0.900473933649289,0.0740740740740741,0.12037037037037
