K,in_ch,val_f1,test_acc,test_f1
1,12,0.9740670461733081,0.9609756097560975,0.9582801191996594
2,24,0.9467428750391482,0.9414634146341463,0.9353727473634446
3,36,0.9426524780087293,0.9463414634146341,0.9397748494147852
4,48,0.9691341017281229,0.9414634146341463,0.9375859912445278
5,60,0.9580188633427552,0.9609756097560975,0.9547619047619046
6,72,0.9646496642062052,0.9414634146341463,0.9396994351585239
