method,test_acc,test_f1
Edge Softmax,0.8878048780487805,0.8718269530585285
Edge SVM,0.8439024390243902,0.8131590976311474
Offline CNN (fixed-length),0.9560975609756097,0.9541312836445499
DTW-MultiTemplate(K=4) + CNN,0.9414634146341463,0.9375859912445278
