speed_kmh,full_samples,cropped_samples,crop_start,crop_end,sample_spacing_m,peak_abs_x,peak_abs_y,peak_abs_z
20,274,225,49,273,0.11111111,234.67445063,45.38155540,66.42184472
40,138,117,21,137,0.22222222,188.03975005,26.39037750,38.85467220
60,92,81,11,91,0.33333333,151.34398938,25.44725232,36.34397292
