u,x_norm,y_norm,z_norm
0.0,-0.0,0.0,-0.0
0.0041841004184100415,0.04026845637583549,0.03529411764702663,0.03819444444444652
0.008368200836820083,0.053691275167782056,0.04705882352936884,0.057291666666668704
0.012552301255230124,0.08053691275167518,0.05294117647056937,0.06770833333333673
0.016736401673640166,0.10067114093959711,0.058823529411740474,0.09201388888889182
0.02092050209205021,0.11409395973154368,0.06470588235291158,0.09548611111111523
0.025104602510460247,0.14765100671141218,0.09411764705882596,0.13020833333333617
0.02928870292887029,0.147651006711408,0.08823529411765485,0.1493055555555562
0.03347280334728033,0.16107382550335875,0.10588235294116816,0.1736111111111113
0.03765690376569037,0.17449664429530112,0.12352941176468148,0.20833333333333443
0.04184100418410042,0.24161073825503393,0.17058823529407974,0.25000000000000433
0.046025104602510455,0.2751677852348982,0.2117647058823069,0.2847222222222253
0.050209205020920494,0.30201342281879134,0.22352941176470795,0.2916666666666699
0.05439330543933054,0.32885906040268026,0.24705882352939237,0.3090277777777804
0.05857740585774058,0.3489932885906064,0.28235294117647786,0.3333333333333355
0.06276150627615062,0.362416107382553,0.29999999999999116,0.34895833333333426
0.06694560669456066,0.362416107382553,0.3117647058823334,0.36284722222222354
0.0711297071129707,0.34228187919463104,0.28235294117644844,0.36805555555555647
0.07531380753138074,0.3758389261744953,0.30588235294113286,0.3871527777777808
0.0794979079497908,0.3892617449664419,0.31764705882350447,0.39409722222222326
0.08368200836820083,0.4362416107382528,0.34705882352938944,0.43229166666666763
0.08786610878661087,0.4362416107382528,0.3588235294117316,0.43229166666667196
0.09205020920502091,0.44295302013422394,0.34705882352938944,0.4427083333333335
0.09623430962343095,0.44295302013422816,0.34705882352938944,0.4565972222222249
0.10041841004184099,0.4295302013422816,0.32941176470587613,0.4479166666666686
0.10460251046025104,0.4630872483221501,0.35294117647059,0.48090277777778
0.10878661087866108,0.48322147651006786,0.3705882352941033,0.48784722222222243
0.11297071129707112,0.510067114093961,0.39999999999995883,0.5086805555555564
0.11715481171548116,0.5771812080536896,0.4529411764705282,0.5416666666666677
0.1213389121338912,0.5906040268456362,0.476470588235242,0.5486111111111102
0.12552301255230125,0.6174496644295293,0.49411764705878475,0.565972222222225
0.12970711297071127,0.6241610738255005,0.49999999999995587,0.5642361111111112
