K,lambda,selected_names,val_acc,val_f1,softmax_test_acc,softmax_test_f1,svm_test_acc,svm_test_f1,dt_test_acc,dt_test_f1,softmax_is_best
3,1.0,"x_absarea, b_energy, z_max",0.8731707317073171,0.8528395775633807,0.8780487804878049,0.8651869906223189,0.8536585365853658,0.8178836234687298,0.8390243902439024,0.807994931111122,True
4,1.0,"x_absarea, b_energy, z_max, x_max",0.8731707317073171,0.8543534921546388,0.8780487804878049,0.8647086888978038,0.848780487804878,0.8164354164354165,0.8439024390243902,0.8218916608818433,True
5,0.1,"x_absarea, b_energy, z_max, x_max, zc_z",0.8731707317073171,0.8575944472099648,0.8878048780487805,0.8738299597013176,0.8341463414634146,0.8003306878306878,0.8634146341463415,0.8393815486838743,True
6,1.0,"x_absarea, b_energy, z_max, x_max, zc_z, len_T_sec_fs50",0.8780487804878049,0.8621821719382695,0.8926829268292683,0.8778841769265845,0.8439024390243902,0.8146825396825396,0.848780487804878,0.8333302693262249,True
7,0.01,"x_absarea, b_energy, z_max, x_max, zc_z, len_T_sec_fs50, b_min",0.8878048780487805,0.8756763283872825,0.8975609756097561,0.8838910551697721,0.8634146341463415,0.8433452168746286,0.8731707317073171,0.8685068787197184,True
8,0.01,"x_absarea, b_energy, z_max, x_max, zc_z, len_T_sec_fs50, b_min, b_max",0.8878048780487805,0.8756763283872825,0.9024390243902439,0.8888487830485982,0.8682926829268293,0.8488673810857611,0.8439024390243902,0.824490978983431,True
