speed_kmh,full_samples,cropped_samples,crop_start,crop_end,sample_spacing_m,peak_abs_x,peak_abs_y,peak_abs_z
20,274,225,49,273,0.11111111,234.67445063,45.38155540,66.42184472
40,138,117,21,137,0.22222222,189.89881052,28.48724809,40.47217310
60,92,81,11,91,0.33333333,153.78582202,33.14171572,40.53249585
